<><><><><><><><> 
Begin: 29-May-2014 11:25:34 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s01 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.044 2.044 
0.531 2.668 2.668 
0.567 2.394 2.394 
0.250 1.935 1.935 
0.567 2.307 2.307 
0.451 2.142 2.142 
0.234 2.381 2.381 
0.317 2.742 2.742 
0.417 2.809 2.809 
0.585 3.755 3.755 
0.584 2.061 2.061 
0.267 2.449 2.449 
0.584 2.503 2.503 
0.584 2.691 2.691 
0.399 3.794 3.794 
0.516 2.500 2.500 
0.266 3.991 5.984 
0.367 1.629 1.629 
0.567 2.460 2.460 
0.517 2.766 2.766 
0.584 2.253 2.253 
0.468 1.837 1.837 
0.217 2.930 2.930 
0.534 3.094 3.094 
0.584 2.153 2.153 
0.467 3.083 3.083 
0.501 4.003 6.001 
0.501 1.115 1.115 
0.367 2.854 2.854 
0.467 1.597 1.597 
0.267 1.389 1.389 
0.484 1.771 1.771 
0.216 1.411 1.411 
0.317 1.661 1.661 
0.217 1.181 1.181 
0.234 1.388 1.388 
0.534 1.235 1.235 
0.483 1.235 1.235 
0.334 1.946 1.946 
0.584 1.344 1.344 
0.217 1.684 1.684 
0.384 2.001 2.001 
0.350 1.553 1.553 
0.500 1.301 1.301 
0.517 1.421 1.421 
0.284 0.504 0.504 
0.400 1.444 1.444 
0.384 1.017 1.017 
0.467 1.980 1.980 
0.483 1.269 1.269 
0.501 1.629 1.629 
0.317 1.586 1.586 
0.483 1.192 1.192 
0.467 0.995 0.995 
0.267 1.387 1.387 
0.250 1.519 1.519 
0.401 1.127 1.127 
0.583 1.411 1.411 
0.334 1.870 1.870 
0.434 2.253 2.253 
0.284 1.313 1.313 
0.500 2.022 2.022 
0.300 1.815 1.815 
0.399 2.425 2.425 
0.483 1.815 1.815 
0.567 1.565 1.565 
0.584 1.978 1.978 
0.417 1.991 1.991 
0.251 2.395 2.395 
0.267 1.268 1.268 
0.301 1.750 1.750 
0.534 0.940 0.940 
0.300 1.368 1.368 
0.534 0.952 0.952 
0.300 1.672 1.672 
0.567 1.740 1.740 
0.350 1.783 1.783 
0.284 2.056 2.056 
0.300 2.934 2.934 
0.450 1.532 1.532 
0.384 1.422 1.422 
0.351 1.727 1.727 
0.534 1.859 1.859 
0.434 2.219 2.219 
0.417 1.476 1.476 
0.567 2.154 2.154 
0.316 2.471 2.471 
0.500 1.738 1.738 
0.500 1.563 1.563 
0.350 1.772 1.772 
0.434 1.137 1.137 
0.234 1.936 1.936 
0.218 1.083 1.083 
0.416 0.755 0.755 
0.516 1.685 1.685 
0.567 2.144 2.144 
0.250 1.510 1.510 
0.434 1.574 1.574 
0.384 1.761 1.761 
0.200 1.674 1.674 
0.333 1.990 1.990 
0.266 1.388 1.388 
0.517 1.815 1.815 
0.334 1.444 1.444 
0.416 1.717 1.717 
0.267 1.924 1.924 
0.450 1.290 1.290 
0.300 1.519 1.519 
0.467 1.487 1.487 
0.484 1.926 1.926 
0.501 1.138 1.138 
0.384 1.039 1.039 
0.234 1.224 1.224 
