<><><><><><><><> 
Begin: 04-Jun-2014 13:40:29 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s03 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.002 1.002 
0.534 0.920 0.920 
0.566 1.412 1.412 
0.251 1.061 1.061 
0.567 0.897 0.897 
0.450 1.062 1.062 
0.234 0.853 0.853 
0.317 1.444 1.444 
0.417 0.908 0.908 
0.583 0.788 0.788 
0.584 1.992 1.992 
0.267 2.123 2.123 
0.583 1.576 1.576 
0.583 0.908 0.908 
0.400 1.762 1.762 
0.518 1.073 1.073 
0.267 0.888 0.888 
0.367 1.116 1.116 
0.568 1.270 1.270 
0.517 1.226 1.226 
0.584 0.963 0.963 
0.466 1.543 1.543 
0.216 0.952 0.952 
0.535 1.073 1.073 
0.583 0.974 0.974 
0.468 1.160 1.160 
0.501 0.920 0.920 
0.500 0.788 0.788 
0.367 1.576 1.576 
0.467 0.855 0.855 
0.267 1.029 1.029 
0.483 0.975 0.975 
0.217 0.908 0.908 
0.317 1.040 1.040 
0.218 1.554 1.554 
0.234 0.974 0.974 
0.533 1.215 1.215 
0.483 1.051 1.051 
0.334 0.832 0.832 
0.584 0.985 0.985 
0.217 1.346 1.346 
0.383 1.106 1.106 
0.350 0.733 0.733 
0.502 1.510 1.510 
0.518 0.930 0.930 
0.284 1.412 1.412 
0.400 1.051 1.051 
0.384 0.877 0.877 
0.467 0.833 0.833 
0.484 1.380 1.380 
0.501 0.941 0.941 
0.317 0.735 0.735 
0.468 1.708 1.708 
0.467 2.038 2.038 
0.267 1.007 1.007 
0.250 1.150 1.150 
0.397 1.970 1.970 
0.585 2.386 2.386 
0.334 0.996 0.996 
0.433 1.084 1.084 
0.299 1.105 1.105 
0.500 0.931 0.931 
0.300 1.105 1.105 
0.401 0.756 0.756 
0.483 0.799 0.799 
0.567 1.071 1.071 
0.584 1.872 1.872 
0.417 0.898 0.898 
0.267 1.225 1.225 
0.268 1.259 1.259 
0.300 1.522 1.522 
0.534 1.226 1.226 
0.300 1.926 1.926 
0.534 1.850 1.850 
0.301 1.149 1.149 
0.568 1.598 1.598 
0.350 0.940 0.940 
0.283 0.985 0.985 
0.301 1.018 1.018 
0.451 2.496 2.496 
0.383 2.167 2.167 
0.350 1.675 1.675 
0.534 0.963 0.963 
0.434 1.072 1.072 
0.418 0.985 0.985 
0.567 1.128 1.128 
0.317 1.171 1.171 
0.501 1.335 1.335 
0.501 1.117 1.117 
0.350 1.095 1.095 
0.433 1.259 1.259 
0.233 1.006 1.006 
0.217 2.069 2.069 
0.417 1.860 1.860 
0.517 1.138 1.138 
0.584 2.967 2.967 
0.250 1.555 1.555 
0.434 1.193 1.193 
0.383 2.091 2.091 
0.200 1.171 1.171 
0.334 0.886 0.886 
0.283 2.430 2.430 
0.517 1.083 1.083 
0.334 1.008 1.008 
0.417 1.149 1.149 
0.266 0.886 0.886 
0.449 0.679 0.679 
0.316 0.975 0.975 
0.468 1.117 1.117 
0.484 0.963 0.963 
0.501 1.173 1.173 
0.383 1.061 1.061 
0.233 1.040 1.040 
0.300 0.887 0.887 
0.568 0.974 0.974 
0.266 1.608 1.608 
0.534 0.634 0.634 
0.418 0.854 0.854 
0.601 1.499 1.499 
0.233 0.854 0.854 
0.384 0.963 0.963 
0.250 2.166 2.166 
0.584 1.007 1.007 
0.201 1.139 1.139 
0.517 1.401 1.401 
0.534 0.853 0.853 
0.551 1.938 1.938 
0.233 1.225 1.225 
0.367 0.766 0.766 
0.300 1.610 1.610 
0.517 1.007 1.007 
0.368 2.738 2.738 
0.567 0.855 0.855 
0.283 1.751 1.751 
0.316 0.854 0.854 
0.266 2.746 2.746 
0.250 1.139 1.139 
0.551 2.791 2.791 
0.434 0.908 0.908 
0.418 3.022 3.022 
0.266 0.952 0.952 
0.550 0.852 0.852 
0.449 0.866 0.866 
0.349 0.919 0.919 
0.400 1.641 1.641 
0.367 1.488 1.488 
0.234 2.035 2.035 
0.301 1.149 1.149 
0.251 0.767 0.767 
0.284 1.107 1.107 
0.301 1.346 1.346 
0.367 0.920 0.920 
0.217 1.818 1.818 
0.568 0.920 0.920 
0.584 1.193 1.193 
0.400 1.706 1.706 
0.400 1.302 1.302 
0.334 1.084 1.084 
0.567 0.690 0.690 
0.350 1.718 1.718 
0.250 1.150 1.150 
0.517 0.941 0.941 
0.351 0.985 0.985 
0.300 1.028 1.028 
0.367 2.188 2.188 
0.233 1.401 1.401 
0.250 2.463 2.463 
0.584 0.952 0.952 
0.584 1.730 1.730 
0.434 1.489 1.489 
0.233 0.996 0.996 
0.300 1.084 1.084 
0.350 1.216 1.216 
0.534 1.630 1.630 
0.216 1.062 1.062 
0.216 1.018 1.018 
0.267 1.106 1.106 
0.467 1.916 1.916 
0.500 0.964 0.964 
0.467 2.662 2.662 
0.384 1.839 1.839 
0.417 0.766 0.766 
0.317 1.905 1.905 
0.501 0.700 0.700 
0.284 1.629 1.629 
0.484 1.314 1.314 
0.284 1.740 1.740 
0.350 1.390 1.390 
0.451 1.139 1.139 
0.517 1.598 1.598 
0.233 1.248 1.248 
0.567 2.079 2.079 
0.517 1.128 1.128 
0.401 1.095 1.095 
0.384 2.759 2.759 
0.384 1.609 1.609 
0.317 0.831 0.831 
0.400 1.456 1.456 
0.400 1.171 1.171 
0.534 0.973 0.973 
0.517 1.050 1.050 
0.466 1.444 1.444 
0.350 0.865 0.865 
0.534 0.996 0.996 
0.417 1.182 1.182 
0.350 0.886 0.886 
0.583 1.324 1.324 
0.551 0.996 0.996 
0.422 1.084 1.084 
0.451 1.325 1.325 
0.434 2.234 2.234 
0.284 1.467 1.467 
0.318 1.434 1.434 
0.383 1.073 1.073 
0.300 1.171 1.171 
0.534 1.116 1.116 
0.284 0.952 0.952 
0.299 1.074 1.074 
0.266 1.499 1.499 
0.300 1.184 1.184 
0.384 1.303 1.303 
0.333 1.085 1.085 
0.567 1.105 1.105 
0.383 1.280 1.280 
0.284 2.177 2.177 
0.568 1.008 1.008 
0.600 1.521 1.521 
0.383 0.919 0.919 
0.250 0.886 0.886 
0.301 1.062 1.062 
0.367 0.941 0.941 
0.433 1.848 1.848 
0.301 1.445 1.445 
0.450 1.006 1.006 
0.484 1.018 1.018 
0.286 1.237 1.237 
0.250 2.298 2.298 
0.318 1.292 1.292 
0.335 1.838 1.838 
0.367 1.412 1.412 
0.400 1.018 1.018 
0.234 1.215 1.215 
0.301 1.456 1.456 
0.518 1.094 1.094 
0.217 1.402 1.402 
0.567 1.445 1.445 
0.499 1.304 1.304 
0.400 1.028 1.028 
0.434 1.302 1.302 
0.301 1.018 1.018 
0.383 1.246 1.246 
0.584 1.161 1.161 
0.417 0.941 0.941 
0.417 2.319 2.319 
0.300 0.941 0.941 
0.401 1.171 1.171 
0.451 1.302 1.302 
0.467 0.920 0.920 
0.367 1.073 1.073 
0.350 1.269 1.269 
0.600 1.302 1.302 
0.217 2.112 2.112 
0.551 0.897 0.897 
0.567 1.138 1.138 
0.517 1.270 1.270 
0.249 1.959 1.959 
0.300 0.798 0.798 
0.334 1.729 1.729 
0.467 1.160 1.160 
0.250 0.821 0.821 
0.484 1.182 1.182 
0.250 0.767 0.767 
0.468 0.909 0.909 
0.400 2.222 2.222 
0.517 0.941 0.941 
0.483 0.865 0.865 
0.567 1.576 1.576 
0.566 1.007 1.007 
0.335 0.985 0.985 
