<><><><><><><><> 
Begin: 29-Aug-2014 14:03:44 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s08 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 1.685 1.685 
0.533 1.403 1.403 
0.567 1.412 1.412 
0.250 1.706 1.706 
0.567 1.664 1.664 
0.450 1.553 1.553 
0.233 2.693 2.693 
0.317 2.352 2.352 
0.418 1.138 1.138 
0.585 1.521 1.521 
0.584 2.561 2.561 
0.267 1.935 1.935 
0.584 3.117 3.117 
0.583 1.422 1.422 
0.401 1.697 1.697 
0.517 1.947 1.947 
0.267 1.138 1.138 
0.367 1.160 1.160 
0.567 0.842 0.842 
0.516 1.028 1.028 
0.583 1.750 1.750 
0.468 1.291 1.291 
0.217 0.963 0.963 
0.534 1.280 1.280 
0.584 0.919 0.919 
0.467 1.861 1.861 
0.501 1.815 1.815 
0.500 1.324 1.324 
0.367 1.510 1.510 
0.467 1.104 1.104 
0.267 1.116 1.116 
0.484 2.384 2.384 
0.216 1.684 1.684 
0.317 2.855 2.855 
0.217 2.002 2.002 
0.234 2.035 2.035 
0.534 1.039 1.039 
0.483 1.094 1.094 
0.334 1.192 1.192 
0.584 1.641 1.641 
0.217 1.368 1.368 
0.384 0.995 0.995 
0.350 0.852 0.852 
0.501 1.073 1.073 
0.517 1.171 1.171 
0.284 2.604 2.604 
0.401 2.068 2.068 
0.384 1.083 1.083 
0.467 1.817 1.817 
0.485 1.149 1.149 
0.501 2.790 2.790 
0.316 1.553 1.553 
0.467 1.181 1.181 
0.467 3.555 3.555 
0.267 0.810 0.810 
0.250 1.073 1.073 
0.400 1.082 1.082 
0.584 0.897 0.897 
0.334 2.046 2.046 
0.434 1.356 1.356 
0.284 2.539 2.539 
0.500 1.181 1.181 
0.300 0.963 0.963 
0.400 1.576 1.576 
0.484 1.083 1.083 
0.567 1.916 1.916 
0.584 2.341 2.341 
0.417 1.411 1.411 
0.251 0.919 0.919 
0.266 1.214 1.214 
0.300 0.897 0.897 
0.534 1.139 1.139 
0.300 2.015 2.015 
0.534 0.908 0.908 
0.299 0.821 0.821 
0.568 1.575 1.575 
0.350 0.908 0.908 
0.285 1.816 1.816 
0.300 1.651 1.651 
0.451 0.875 0.875 
0.384 1.389 1.389 
0.350 2.100 2.100 
0.534 2.514 2.514 
0.434 1.214 1.214 
0.417 0.963 0.963 
0.567 2.768 2.768 
0.316 2.046 2.046 
0.501 0.854 0.854 
0.500 1.411 1.411 
0.350 1.411 1.411 
0.434 1.192 1.192 
0.234 0.755 0.755 
0.217 0.854 0.854 
0.417 0.842 0.842 
0.517 0.558 0.558 
0.584 1.346 1.346 
0.250 0.909 0.909 
0.434 0.919 0.919 
0.384 0.711 0.711 
0.200 0.832 0.832 
0.334 0.853 0.853 
0.267 1.531 1.531 
0.517 1.050 1.050 
0.334 0.985 0.985 
0.417 0.810 0.810 
0.266 1.946 1.946 
0.449 1.719 1.719 
0.300 1.302 1.302 
0.467 1.728 1.728 
0.484 1.116 1.116 
0.499 1.127 1.127 
0.384 0.755 0.755 
0.234 0.831 0.831 
0.300 1.521 1.521 
0.567 0.766 0.766 
0.267 0.777 0.777 
0.534 1.335 1.335 
0.417 1.662 1.662 
0.601 0.548 0.548 
0.234 1.007 1.007 
0.384 0.864 0.864 
0.250 0.755 0.755 
0.584 0.799 0.799 
0.200 0.536 0.536 
0.517 0.657 0.657 
0.534 0.722 0.722 
0.550 1.422 1.422 
0.234 1.761 1.761 
0.367 0.952 0.952 
0.300 1.620 1.620 
0.517 0.766 0.766 
0.384 0.754 0.754 
0.567 0.777 0.777 
0.284 3.042 3.042 
0.300 2.331 2.331 
0.267 1.553 1.553 
0.250 1.181 1.181 
0.551 1.006 1.006 
0.434 0.690 0.690 
0.418 1.203 1.203 
0.267 0.678 0.678 
0.551 0.689 0.689 
0.450 0.941 0.941 
0.350 0.787 0.787 
0.401 0.689 0.689 
0.367 2.123 2.123 
0.234 0.821 0.821 
0.300 0.799 0.799 
0.249 0.678 0.678 
0.284 1.958 1.958 
0.300 1.585 1.585 
0.367 0.898 0.898 
0.217 0.734 0.734 
0.567 0.612 0.612 
0.584 1.400 1.400 
0.400 0.712 0.712 
0.400 0.788 0.788 
0.334 0.810 0.810 
0.567 1.302 1.302 
0.351 2.132 2.132 
0.250 0.884 0.884 
0.517 0.722 0.722 
0.351 1.011 1.011 
0.300 1.488 1.488 
0.367 1.083 1.083 
0.234 1.520 1.520 
0.250 1.804 1.804 
0.584 2.275 2.275 
0.584 0.645 0.645 
0.434 3.380 3.380 
0.234 1.980 1.980 
0.300 0.996 0.996 
0.350 0.941 0.941 
0.534 0.821 0.821 
0.200 0.963 0.963 
0.217 0.766 0.766 
0.267 0.722 0.722 
0.467 1.291 1.291 
0.500 0.744 0.744 
0.467 1.925 1.925 
0.384 1.204 1.204 
0.417 1.619 1.619 
0.317 0.974 0.974 
0.501 1.685 1.685 
0.284 0.842 0.842 
0.483 2.428 2.428 
0.283 1.072 1.072 
0.350 1.018 1.018 
0.451 1.137 1.137 
0.518 0.777 0.777 
0.234 1.138 1.138 
0.567 1.072 1.072 
0.517 0.711 0.711 
0.400 0.940 0.940 
0.383 0.624 0.624 
0.384 1.664 1.664 
0.334 1.061 1.061 
0.402 0.766 0.766 
0.400 1.094 1.094 
0.534 2.264 2.264 
0.516 1.181 1.181 
0.467 1.684 1.684 
0.350 1.795 1.795 
0.534 1.236 1.236 
0.417 1.957 1.957 
0.350 1.466 1.466 
0.584 2.209 2.209 
0.551 2.581 2.581 
0.417 2.090 2.090 
0.450 1.795 1.795 
0.434 0.918 0.918 
0.284 2.111 2.111 
0.317 1.827 1.827 
0.384 1.564 1.564 
0.299 2.373 2.373 
0.534 2.155 2.155 
0.284 2.844 2.844 
0.300 1.127 1.127 
0.267 1.433 1.433 
0.300 2.221 2.221 
0.384 0.941 0.941 
0.334 2.253 2.253 
0.567 1.597 1.597 
0.367 0.831 0.831 
0.283 1.466 1.466 
0.567 0.898 0.898 
0.600 0.744 0.744 
0.384 1.991 1.991 
0.250 1.652 1.652 
0.300 1.575 1.575 
0.367 1.870 1.870 
0.434 0.865 0.865 
0.300 1.083 1.083 
0.449 0.744 0.744 
0.485 0.931 0.931 
0.284 0.788 0.788 
0.250 1.138 1.138 
0.316 0.798 0.798 
0.334 1.587 1.587 
0.367 0.919 0.919 
0.400 0.995 0.995 
0.234 1.947 1.947 
0.300 1.280 1.280 
0.517 1.104 1.104 
0.217 0.853 0.853 
0.567 1.018 1.018 
0.499 0.852 0.852 
0.401 0.908 0.908 
0.434 0.646 0.646 
0.300 0.909 0.909 
0.384 1.029 1.029 
0.584 0.699 0.699 
0.417 1.805 1.805 
0.417 0.875 0.875 
0.300 1.400 1.400 
0.400 1.346 1.346 
0.450 0.831 0.831 
0.467 1.127 1.127 
0.367 0.853 0.853 
0.350 0.777 0.777 
0.601 0.941 0.941 
0.217 0.755 0.755 
0.551 0.646 0.646 
0.567 1.017 1.017 
0.517 0.722 0.722 
0.233 1.193 1.193 
0.301 0.853 0.853 
0.334 1.444 1.444 
0.467 1.072 1.072 
0.250 0.766 0.766 
0.484 1.171 1.171 
0.249 1.290 1.290 
0.467 0.734 0.734 
0.400 0.722 0.722 
0.517 1.815 1.815 
0.483 1.061 1.061 
0.567 1.160 1.160 
0.567 1.290 1.290 
0.334 1.039 1.039 
