<><><><><><><><> 
Begin: 28-Jul-2014 10:14:47 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s09 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.644 1.644 
0.417 1.347 1.347 
0.284 1.501 1.501 
0.284 1.392 1.392 
0.551 1.732 1.732 
0.450 1.457 1.457 
0.451 1.787 1.787 
0.367 1.424 1.424 
0.584 2.179 2.179 
0.384 1.622 1.622 
0.284 2.115 2.115 
0.467 1.172 1.172 
0.383 1.720 1.720 
0.551 1.216 1.216 
0.384 1.063 1.063 
0.233 1.337 1.337 
0.234 1.675 1.675 
0.601 1.863 1.863 
0.583 1.883 1.883 
0.317 2.662 2.662 
0.216 1.424 1.424 
0.300 1.600 1.600 
0.334 2.465 2.465 
0.367 1.544 1.544 
0.283 1.216 1.216 
0.384 2.705 2.705 
0.484 1.490 1.490 
0.234 1.149 1.149 
0.267 1.698 1.698 
0.502 2.038 2.038 
0.250 3.441 3.441 
0.583 1.293 1.293 
0.351 1.436 1.436 
0.501 1.074 1.074 
0.367 1.544 1.544 
0.401 1.621 1.621 
0.383 1.413 1.413 
0.400 1.578 1.578 
0.316 2.169 2.169 
0.284 1.588 1.588 
0.501 1.796 1.796 
0.451 2.047 2.047 
0.584 1.392 1.392 
0.284 1.588 1.588 
0.417 2.203 2.203 
0.584 1.775 1.775 
0.434 1.983 1.983 
0.333 1.391 1.391 
0.601 1.742 1.742 
0.334 1.873 1.873 
0.367 1.818 1.818 
0.533 1.928 1.928 
0.400 1.775 1.775 
0.484 2.247 2.247 
0.400 1.501 1.501 
0.350 1.959 1.959 
0.417 1.413 1.413 
0.350 1.973 1.973 
0.317 2.455 2.455 
0.233 1.731 1.731 
0.251 1.490 1.490 
0.234 1.457 1.457 
0.250 1.588 1.588 
0.317 2.181 2.181 
0.233 1.577 1.577 
0.550 3.055 3.055 
0.216 1.654 1.654 
0.534 1.436 1.436 
0.250 1.589 1.589 
0.550 1.928 1.928 
0.266 1.753 1.753 
0.601 1.654 1.654 
0.333 2.387 2.387 
0.551 1.642 1.642 
0.484 2.203 2.203 
0.434 1.227 1.227 
0.317 1.239 1.239 
0.434 2.159 2.159 
0.284 1.711 1.711 
0.250 1.786 1.786 
0.384 2.487 2.487 
0.267 1.951 1.951 
0.551 1.862 1.862 
0.383 1.633 1.633 
0.383 1.106 1.106 
0.584 1.392 1.392 
0.417 1.665 1.665 
0.333 1.315 1.315 
0.218 1.567 1.567 
0.533 1.413 1.413 
0.367 1.774 1.774 
0.550 1.533 1.533 
0.468 1.665 1.665 
0.316 1.424 1.424 
0.233 1.303 1.303 
0.434 1.589 1.589 
0.433 1.193 1.193 
0.201 1.315 1.315 
0.284 1.676 1.676 
0.301 1.774 1.774 
0.201 2.070 2.070 
0.217 1.732 1.732 
0.467 1.938 1.938 
0.517 1.917 1.917 
0.383 2.213 2.213 
0.300 1.326 1.326 
0.451 2.059 2.059 
0.268 1.840 1.840 
0.551 1.534 1.534 
0.467 1.654 1.654 
0.550 2.323 2.323 
0.333 1.336 1.336 
0.233 1.555 1.555 
0.200 1.413 1.413 
0.600 1.403 1.403 
0.334 1.425 1.425 
0.367 2.158 2.158 
0.249 1.808 1.808 
0.484 0.975 0.975 
0.283 1.294 1.294 
0.216 1.502 1.502 
0.517 1.271 1.271 
0.518 1.775 1.775 
0.284 1.358 1.358 
0.518 1.872 1.872 
0.233 1.392 1.392 
0.333 1.205 1.205 
0.334 1.841 1.841 
0.317 2.530 2.530 
0.318 2.696 2.696 
0.450 2.158 2.158 
0.484 1.830 1.830 
0.583 1.687 1.687 
0.567 2.181 2.181 
0.499 2.530 2.530 
0.468 1.676 1.676 
0.217 1.686 1.686 
0.334 1.227 1.227 
0.484 1.512 1.512 
0.334 1.413 1.413 
0.551 1.281 1.281 
0.384 1.096 1.096 
0.400 1.151 1.151 
0.501 1.501 1.501 
0.467 1.271 1.271 
0.533 1.588 1.588 
0.367 1.842 1.842 
0.484 1.315 1.315 
0.284 1.336 1.336 
0.250 2.269 2.269 
0.601 1.644 1.644 
0.467 1.666 1.666 
0.450 1.391 1.391 
0.384 1.732 1.732 
0.534 1.632 1.632 
0.317 1.238 1.238 
0.384 2.027 2.027 
0.368 1.578 1.578 
0.501 1.259 1.259 
0.584 1.545 1.545 
0.250 1.096 1.096 
0.433 1.216 1.216 
0.201 1.216 1.216 
0.201 1.633 1.633 
0.266 1.216 1.216 
0.401 1.270 1.270 
0.567 1.217 1.217 
0.450 0.931 0.931 
0.567 0.920 0.920 
0.384 0.942 0.942 
0.300 1.096 1.096 
0.400 0.975 0.975 
0.301 1.063 1.063 
0.584 1.107 1.107 
0.434 1.556 1.556 
0.233 1.009 1.009 
0.284 1.764 1.764 
0.400 2.290 2.290 
0.217 2.313 2.313 
0.483 1.227 1.227 
0.450 1.293 1.293 
0.301 1.512 1.512 
0.467 1.172 1.172 
0.301 1.228 1.228 
0.200 1.162 1.162 
0.318 1.250 1.250 
0.318 1.040 1.040 
0.283 1.281 1.281 
0.534 1.414 1.414 
0.434 1.074 1.074 
0.584 1.173 1.173 
0.467 1.074 1.074 
0.434 0.954 0.954 
0.550 1.040 1.040 
0.483 1.052 1.052 
0.551 1.030 1.030 
0.317 1.063 1.063 
0.601 1.479 1.479 
0.268 1.305 1.305 
0.484 1.161 1.161 
0.534 1.294 1.294 
0.551 1.259 1.259 
0.383 1.368 1.368 
0.218 1.304 1.304 
0.234 1.347 1.347 
0.467 1.610 1.610 
0.567 1.950 1.950 
0.334 1.688 1.688 
0.483 1.150 1.150 
0.235 1.797 1.797 
0.217 1.578 1.578 
0.335 2.102 2.102 
0.484 1.513 1.513 
0.283 1.501 1.501 
0.350 1.184 1.184 
0.201 1.588 1.588 
0.367 1.008 1.008 
0.484 1.829 1.829 
0.234 1.961 1.961 
0.266 1.358 1.358 
0.534 1.621 1.621 
0.484 1.664 1.664 
0.502 1.171 1.171 
0.300 1.896 1.896 
0.484 2.093 2.093 
0.400 1.644 1.644 
0.300 1.479 1.479 
0.217 1.676 1.676 
0.251 1.413 1.413 
0.250 1.424 1.424 
0.383 1.425 1.425 
0.401 1.227 1.227 
0.317 1.500 1.500 
0.316 1.479 1.479 
0.217 1.480 1.480 
0.450 1.710 1.710 
0.467 1.512 1.512 
0.367 1.654 1.654 
0.551 1.107 1.107 
0.501 1.150 1.150 
0.517 1.030 1.030 
0.333 1.217 1.217 
0.434 1.842 1.842 
0.517 1.193 1.193 
0.266 1.195 1.195 
0.268 0.953 0.953 
0.417 1.095 1.095 
0.468 1.008 1.008 
0.418 1.271 1.271 
0.300 1.447 1.447 
0.484 1.359 1.359 
0.367 1.446 1.446 
0.551 1.019 1.019 
0.350 1.424 1.424 
0.418 1.216 1.216 
0.218 1.073 1.073 
0.266 1.260 1.260 
0.551 1.512 1.512 
0.517 1.063 1.063 
0.251 1.107 1.107 
0.251 1.446 1.446 
0.200 1.501 1.501 
0.418 1.107 1.107 
0.384 1.709 1.709 
0.384 1.623 1.623 
0.251 1.392 1.392 
0.234 1.085 1.085 
0.434 0.997 0.997 
0.334 1.217 1.217 
0.268 1.360 1.360 
0.450 0.909 0.909 
0.534 1.183 1.183 
0.518 1.688 1.688 
0.467 1.590 1.590 
0.418 1.589 1.589 
0.584 1.303 1.303 
0.200 1.249 1.249 
0.568 1.896 1.896 
0.251 1.840 1.840 
