<><><><><><><><> 
Begin: 18-Sep-2014 10:28:47 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s12 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.978 0.978 
0.534 1.590 1.590 
0.567 0.909 0.909 
0.250 1.040 1.040 
0.567 1.183 1.183 
0.451 1.456 1.456 
0.250 1.335 1.335 
0.317 0.898 0.898 
0.417 1.085 1.085 
0.584 0.789 0.789 
0.583 1.073 1.073 
0.266 1.401 1.401 
0.584 1.172 1.172 
0.584 1.040 1.040 
0.401 1.029 1.029 
0.517 1.237 1.237 
0.267 1.216 1.216 
0.367 1.326 1.326 
0.566 1.084 1.084 
0.517 1.346 1.346 
0.584 1.138 1.138 
0.467 1.642 1.642 
0.217 1.434 1.434 
0.550 1.149 1.149 
0.583 1.062 1.062 
0.467 1.226 1.226 
0.501 1.040 1.040 
0.500 1.292 1.292 
0.366 1.084 1.084 
0.467 0.963 0.963 
0.267 0.941 0.941 
0.484 1.455 1.455 
0.217 1.051 1.051 
0.317 1.193 1.193 
0.216 1.051 1.051 
0.250 1.488 1.488 
0.535 1.511 1.511 
0.484 1.249 1.249 
0.334 1.118 1.118 
0.583 1.555 1.555 
0.216 1.149 1.149 
0.384 1.095 1.095 
0.350 1.116 1.116 
0.502 0.963 0.963 
0.518 0.898 0.898 
0.284 0.876 0.876 
0.400 0.953 0.953 
0.384 0.734 0.734 
0.466 1.139 1.139 
0.485 1.095 1.095 
0.501 1.798 1.798 
0.318 1.644 1.644 
0.468 1.687 1.687 
0.468 1.139 1.139 
0.267 1.118 1.118 
0.251 1.806 1.806 
0.400 0.920 0.920 
0.584 1.741 1.741 
0.334 0.887 0.887 
0.434 1.401 1.401 
0.284 1.337 1.337 
0.501 1.281 1.281 
0.301 1.502 1.502 
0.401 1.173 1.173 
0.484 0.943 0.943 
0.567 1.236 1.236 
0.585 1.730 1.730 
0.417 1.676 1.676 
0.266 1.160 1.160 
0.267 1.052 1.052 
0.300 1.205 1.205 
0.533 1.303 1.303 
0.299 1.062 1.062 
0.534 1.271 1.271 
0.300 1.073 1.073 
0.568 1.326 1.326 
0.350 1.183 1.183 
0.284 1.434 1.434 
0.300 1.982 1.982 
0.451 0.908 0.908 
0.400 1.850 1.850 
0.350 1.347 1.347 
0.534 1.863 1.863 
0.434 1.698 1.698 
0.417 1.566 1.566 
0.568 0.974 0.974 
0.317 2.825 2.825 
0.501 0.778 0.778 
0.501 1.720 1.720 
0.351 1.719 1.719 
0.434 0.887 0.887 
0.234 1.029 1.029 
0.217 1.030 1.030 
0.417 1.391 1.391 
0.517 1.051 1.051 
0.583 1.012 1.012 
0.250 1.120 1.120 
0.433 1.586 1.586 
0.384 1.001 1.001 
0.200 0.881 0.881 
0.333 1.338 1.338 
0.267 1.130 1.130 
0.517 1.044 1.044 
0.333 0.870 0.870 
0.417 1.240 1.240 
0.267 0.848 0.848 
0.450 1.164 1.164 
0.300 1.173 1.173 
0.467 0.936 0.936 
0.483 1.207 1.207 
0.501 1.066 1.066 
0.384 0.925 0.925 
0.234 1.142 1.142 
0.300 1.023 1.023 
0.568 2.143 2.143 
0.267 1.477 1.477 
0.534 1.382 1.382 
0.417 1.250 1.250 
0.601 1.098 1.098 
0.234 1.000 1.000 
0.384 0.903 0.903 
0.250 1.295 1.295 
0.583 1.164 1.164 
0.201 1.479 1.479 
0.517 1.044 1.044 
0.535 1.022 1.022 
0.551 0.892 0.892 
0.234 0.946 0.946 
0.367 1.229 1.229 
0.301 1.761 1.761 
0.517 1.349 1.349 
0.367 1.097 1.097 
0.567 1.577 1.577 
0.267 2.066 2.066 
0.301 1.447 1.447 
0.266 1.034 1.034 
0.251 1.088 1.088 
0.551 0.805 0.805 
0.433 0.990 0.990 
0.417 0.979 0.979 
0.266 1.316 1.316 
0.551 0.870 0.870 
0.451 1.131 1.131 
0.350 0.979 0.979 
0.401 1.076 1.076 
0.367 0.936 0.936 
0.233 1.304 1.304 
0.301 1.598 1.598 
0.250 0.817 0.817 
0.284 0.981 0.981 
0.300 1.065 1.065 
0.367 1.218 1.218 
0.217 1.348 1.348 
0.567 1.283 1.283 
0.584 1.011 1.011 
0.400 1.229 1.229 
0.400 2.109 2.109 
0.334 0.892 0.892 
0.567 2.088 2.088 
0.351 1.478 1.478 
0.250 0.913 0.913 
0.517 0.837 0.837 
0.351 1.012 1.012 
0.300 1.816 1.816 
0.367 1.794 1.794 
0.234 1.424 1.424 
0.250 1.566 1.566 
0.585 1.708 1.708 
0.584 1.316 1.316 
0.434 1.295 1.295 
0.234 1.652 1.652 
0.300 2.371 2.371 
0.350 1.327 1.327 
0.534 1.293 1.293 
0.216 2.773 2.773 
0.216 1.066 1.066 
0.267 0.990 0.990 
0.467 1.478 1.478 
0.501 0.989 0.989 
0.467 2.261 2.261 
0.383 1.152 1.152 
0.417 1.098 1.098 
0.318 1.186 1.186 
0.501 0.989 0.989 
0.284 2.662 2.662 
0.484 1.272 1.272 
0.283 1.317 1.317 
0.351 1.175 1.175 
0.451 1.946 1.946 
0.517 1.033 1.033 
0.234 2.740 2.740 
0.568 2.023 2.023 
0.517 1.989 1.989 
0.400 2.369 2.369 
0.384 1.336 1.336 
0.383 1.228 1.228 
0.318 1.239 1.239 
0.401 2.141 2.141 
0.400 1.696 1.696 
0.533 1.914 1.914 
0.518 1.969 1.969 
0.467 2.978 2.978 
0.351 0.772 0.772 
0.534 1.218 1.218 
0.417 3.423 3.423 
0.350 1.142 1.142 
0.584 1.241 1.241 
0.551 2.142 2.142 
0.417 2.282 2.282 
0.450 2.817 2.817 
0.433 3.021 3.021 
0.283 0.860 0.860 
0.317 0.881 0.881 
0.384 1.316 1.316 
0.300 0.946 0.946 
0.534 1.174 1.174 
0.284 1.478 1.478 
0.300 1.424 1.424 
0.267 1.325 1.325 
0.300 1.859 1.859 
0.384 1.045 1.045 
0.333 1.044 1.044 
0.567 0.882 0.882 
0.367 0.945 0.945 
0.283 1.151 1.151 
0.567 0.751 0.751 
0.601 1.218 1.218 
0.384 0.880 0.880 
0.250 1.109 1.109 
0.301 1.511 1.511 
0.367 1.013 1.013 
0.434 1.043 1.043 
0.300 1.088 1.088 
0.450 1.054 1.054 
0.484 0.913 0.913 
0.285 0.946 0.946 
0.250 1.185 1.185 
0.317 0.913 0.913 
0.334 1.174 1.174 
0.368 1.045 1.045 
0.400 0.849 0.849 
0.234 0.881 0.881 
0.300 0.978 0.978 
0.518 1.620 1.620 
0.217 1.206 1.206 
0.567 1.228 1.228 
0.501 1.620 1.620 
0.400 1.326 1.326 
0.434 1.079 1.079 
0.300 2.262 2.262 
0.384 0.897 0.897 
0.584 1.353 1.353 
0.418 1.201 1.201 
0.417 0.983 0.983 
0.300 1.119 1.119 
0.401 1.207 1.207 
0.450 1.000 1.000 
0.467 2.097 2.097 
0.367 0.935 0.935 
0.351 0.935 0.935 
0.601 1.577 1.577 
0.216 1.141 1.141 
0.551 1.425 1.425 
0.567 0.882 0.882 
0.517 1.274 1.274 
0.233 1.326 1.326 
0.301 1.253 1.253 
0.332 1.088 1.088 
0.468 1.642 1.642 
0.250 1.697 1.697 
0.484 1.305 1.305 
0.250 0.948 0.948 
0.467 1.414 1.414 
0.400 1.184 1.184 
0.517 1.467 1.467 
0.484 1.504 1.504 
0.567 1.479 1.479 
0.567 1.237 1.237 
0.333 1.873 1.873 
