<><><><><><><><> 
Begin: 12-Dec-2013 19:24:42 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s01 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.764 0.764 
0.351 0.579 0.579 
0.483 0.556 0.556 
0.251 0.623 0.623 
0.617 0.513 0.513 
0.467 0.790 0.790 
0.350 0.579 0.579 
0.368 0.702 0.702 
0.918 0.601 0.601 
0.750 0.546 0.546 
0.583 0.668 0.668 
0.935 0.723 0.723 
0.284 0.612 0.612 
0.802 0.713 0.713 
0.784 0.590 0.590 
0.651 0.456 0.456 
0.350 0.801 0.801 
0.684 0.646 0.646 
0.449 1.125 1.125 
0.316 1.191 1.191 
0.368 0.869 0.869 
0.917 1.258 1.258 
0.267 1.236 1.236 
0.401 0.991 0.991 
0.249 1.080 1.080 
0.551 0.903 0.903 
0.217 0.646 0.646 
0.918 0.835 0.835 
0.367 1.437 1.437 
0.283 0.724 0.724 
0.450 1.235 1.235 
0.568 1.047 1.047 
0.284 1.527 1.527 
1.001 1.325 1.325 
0.466 1.069 1.069 
0.434 1.147 1.147 
0.251 0.979 0.979 
0.433 1.168 1.168 
0.234 1.270 1.270 
0.601 0.791 0.791 
0.818 0.579 0.579 
0.702 0.991 0.991 
0.267 1.090 1.090 
0.267 0.869 0.869 
0.818 0.724 0.724 
0.918 0.835 0.835 
0.635 1.137 1.137 
0.283 1.661 1.661 
0.869 0.948 0.948 
0.467 0.946 0.946 
0.434 2.307 2.307 
0.801 1.437 1.437 
0.217 0.813 0.813 
0.234 0.846 0.846 
0.734 2.047 2.047 
0.685 1.302 1.302 
0.617 0.991 0.991 
0.784 1.069 1.069 
0.766 1.057 1.057 
0.834 0.791 0.791 
0.435 0.869 0.869 
0.751 0.757 0.757 
0.652 1.126 1.126 
0.517 0.791 0.791 
0.250 1.024 1.024 
0.834 1.013 1.013 
0.467 0.858 0.858 
0.685 0.880 0.880 
0.801 1.182 1.182 
0.284 1.092 1.092 
0.301 0.913 0.913 
0.650 0.713 0.713 
0.583 1.003 1.003 
0.919 1.538 1.538 
0.834 0.701 0.701 
0.785 0.713 0.713 
0.249 0.913 0.913 
0.267 1.081 1.081 
0.267 0.858 0.858 
0.834 2.294 2.294 
0.952 0.947 0.947 
0.751 0.768 0.768 
0.300 0.679 0.679 
0.785 1.026 1.026 
0.284 0.779 0.779 
0.300 0.780 0.780 
0.717 0.814 0.814 
0.468 1.215 1.215 
0.734 1.102 1.102 
0.801 1.427 1.427 
0.668 1.092 1.092 
0.800 0.746 0.746 
0.384 1.169 1.169 
0.785 0.713 0.713 
0.984 0.601 0.601 
0.901 0.668 0.668 
0.268 0.535 0.535 
0.501 0.568 0.568 
0.502 0.535 0.535 
0.752 0.689 0.689 
0.684 0.590 0.590 
0.835 0.691 0.691 
0.501 0.847 0.847 
0.367 0.780 0.780 
0.267 0.857 0.857 
0.816 0.691 0.691 
0.368 0.725 0.725 
0.517 0.546 0.546 
0.650 0.601 0.601 
0.385 0.856 0.856 
0.718 1.115 1.115 
