<><><><><><><><> 
Begin: 29-Jan-2014 15:41:08 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s08 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.590 0.590 
0.598 0.766 0.766 
0.468 0.690 0.690 
0.885 0.777 0.777 
0.217 0.635 0.635 
0.952 1.762 1.762 
0.285 0.558 0.558 
1.001 1.389 1.389 
0.602 1.138 1.138 
0.317 1.553 1.553 
0.901 2.670 2.670 
0.418 1.905 1.905 
0.884 2.430 2.430 
0.216 1.357 1.357 
0.567 3.995 4.289 
0.883 1.478 1.478 
0.784 1.554 1.554 
0.984 0.963 0.963 
0.735 1.094 1.094 
0.984 1.467 1.467 
0.367 0.854 0.854 
0.634 1.084 1.084 
0.267 1.500 1.500 
0.835 1.477 1.477 
0.618 1.861 1.861 
0.518 0.843 0.843 
0.534 1.861 1.861 
0.267 1.313 1.313 
0.633 1.018 1.018 
0.552 1.609 1.609 
0.851 1.084 1.084 
0.417 2.397 2.397 
0.551 1.806 1.806 
0.416 1.171 1.171 
0.768 1.040 1.040 
0.250 1.467 1.467 
0.551 0.711 0.711 
0.484 1.281 1.281 
0.766 2.967 2.967 
0.367 1.028 1.028 
0.334 1.532 1.532 
0.818 1.324 1.324 
0.634 1.959 1.959 
0.868 0.854 0.854 
0.267 0.734 0.734 
0.701 0.974 0.974 
0.768 0.843 0.843 
0.634 1.356 1.356 
0.334 1.357 1.357 
0.918 0.766 0.766 
1.001 0.800 0.800 
0.418 0.624 0.624 
0.351 1.937 1.937 
0.635 2.648 2.648 
0.685 0.953 0.953 
0.867 1.718 1.718 
0.700 1.587 1.587 
0.951 1.771 1.771 
0.784 1.335 1.335 
0.951 1.040 1.040 
0.983 0.700 0.700 
0.634 3.216 3.216 
0.384 1.203 1.203 
0.684 1.237 1.237 
0.250 0.591 0.591 
0.918 0.877 0.877 
0.234 0.613 0.613 
0.550 0.514 0.514 
0.834 1.007 1.007 
0.917 1.315 1.315 
0.852 1.260 1.260 
0.717 1.094 1.094 
0.434 1.390 1.390 
0.634 1.105 1.105 
0.768 1.084 1.084 
0.418 1.095 1.095 
0.717 2.135 2.135 
0.601 0.635 0.635 
0.351 0.646 0.646 
0.817 0.559 0.559 
0.217 0.569 0.569 
0.984 0.416 0.416 
0.468 1.795 1.795 
0.484 0.657 0.657 
0.551 0.701 0.701 
0.984 3.098 3.098 
0.634 2.014 2.014 
0.384 1.331 1.331 
0.584 0.908 0.908 
0.584 1.489 1.489 
0.668 0.909 0.909 
0.718 1.368 1.368 
0.667 0.854 0.854 
0.968 0.678 0.678 
0.367 0.843 0.843 
0.367 0.985 0.985 
0.901 0.876 0.876 
0.935 0.853 0.853 
0.851 0.909 0.909 
0.250 1.686 1.686 
0.418 0.854 0.854 
0.351 0.733 0.733 
0.901 0.668 0.668 
0.217 0.723 0.723 
0.567 0.832 0.832 
0.568 0.635 0.635 
0.801 1.533 1.533 
0.951 0.712 0.712 
0.635 0.668 0.668 
0.551 1.051 1.051 
0.250 1.498 1.498 
