<><><><><><><><> 
Begin: 06-Feb-2014 12:04:43 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s09 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 2.004 2.004 
0.348 1.436 1.436 
0.484 1.031 1.031 
0.250 1.349 1.349 
0.616 1.558 1.558 
0.468 0.669 0.669 
0.350 0.756 0.756 
0.368 0.735 0.735 
0.934 0.876 0.876 
0.751 1.709 1.709 
0.584 2.039 2.039 
0.934 1.414 1.414 
0.284 1.917 1.917 
0.801 1.041 1.041 
0.800 1.019 1.019 
0.652 2.018 2.018 
0.351 2.247 2.247 
0.684 1.315 1.315 
0.450 1.666 1.666 
0.317 2.368 2.368 
0.368 2.006 2.006 
0.919 1.731 1.731 
0.267 2.478 2.478 
0.401 1.777 1.777 
0.250 1.589 1.589 
0.552 1.908 1.908 
0.217 2.301 2.301 
0.919 0.614 0.614 
0.366 1.031 1.031 
0.284 0.647 0.647 
0.452 0.888 0.888 
0.567 0.954 0.954 
0.283 1.282 1.282 
1.000 2.149 2.149 
0.466 0.855 0.855 
0.434 2.523 2.523 
0.250 0.866 0.866 
0.434 0.965 0.965 
0.234 0.834 0.834 
0.602 1.195 1.195 
0.817 1.151 1.151 
0.700 1.853 1.853 
0.267 1.260 1.260 
0.266 0.933 0.933 
0.818 1.283 1.283 
0.934 1.840 1.840 
0.634 1.348 1.348 
0.283 1.173 1.173 
0.869 1.579 1.579 
0.468 1.382 1.382 
0.434 0.636 0.636 
0.800 1.118 1.118 
0.217 0.822 0.822 
0.234 1.371 1.371 
0.734 2.148 2.148 
0.684 1.326 1.326 
0.617 1.074 1.074 
0.784 3.912 3.912 
0.766 3.210 3.210 
0.834 2.400 2.400 
0.434 1.207 1.207 
0.750 0.636 0.636 
0.652 1.194 1.194 
0.517 0.854 0.854 
0.249 1.118 1.118 
0.834 1.567 1.567 
0.468 0.801 0.801 
0.685 3.376 3.376 
0.800 2.062 2.062 
0.285 1.786 1.786 
0.300 1.502 1.502 
0.650 0.724 0.724 
0.584 0.844 0.844 
0.918 1.118 1.118 
0.835 0.889 0.889 
0.784 1.523 1.523 
0.250 2.378 2.378 
0.267 1.140 1.140 
0.268 0.723 0.723 
0.835 1.568 1.568 
0.950 1.008 1.008 
0.751 0.943 0.943 
0.316 0.911 0.911 
0.785 1.921 1.921 
0.284 1.415 1.415 
0.299 0.724 0.724 
0.719 1.107 1.107 
0.467 0.648 0.648 
0.733 0.669 0.669 
0.802 1.097 1.097 
0.667 0.647 0.647 
0.800 0.988 0.988 
0.385 2.246 2.246 
0.785 0.854 0.854 
0.984 1.502 1.502 
0.901 1.755 1.755 
0.268 1.031 1.031 
0.500 1.655 1.655 
0.500 3.995 4.663 
0.750 0.791 0.791 
0.684 1.657 1.657 
0.835 1.195 1.195 
0.500 0.998 0.998 
0.367 0.714 0.714 
0.267 0.746 0.746 
0.817 1.501 1.501 
0.367 1.821 1.821 
0.516 1.129 1.129 
0.650 0.680 0.680 
0.384 0.680 0.680 
0.719 0.756 0.756 
