<><><><><><><><> 
Begin: 11-Mar-2014 14:51:21 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s36 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.659 1.659 
0.349 0.600 0.600 
0.484 3.186 3.186 
0.252 2.063 2.063 
0.617 0.981 0.981 
0.467 0.959 0.959 
0.350 1.992 1.992 
0.367 2.220 2.220 
0.934 1.316 1.316 
0.751 0.874 0.874 
0.583 1.760 1.760 
0.934 2.056 2.056 
0.284 2.931 2.931 
0.801 2.046 2.046 
0.800 1.517 1.517 
0.651 2.023 2.023 
0.351 1.439 1.439 
0.684 0.935 0.935 
0.450 1.769 1.769 
0.317 3.987 4.017 
0.367 2.450 2.450 
0.918 1.497 1.497 
0.266 1.705 1.705 
0.400 2.231 2.231 
0.250 1.687 1.687 
0.551 1.970 1.970 
0.217 3.647 3.647 
0.918 3.851 3.851 
0.366 1.011 1.011 
0.283 1.782 1.782 
0.451 1.295 1.295 
0.567 0.612 0.612 
0.284 0.777 0.777 
1.001 2.720 2.720 
0.468 1.929 1.929 
0.434 2.872 2.872 
0.250 2.168 2.168 
0.434 1.018 1.018 
0.234 2.197 2.197 
0.601 1.835 1.835 
0.818 1.762 1.762 
0.701 2.590 2.590 
0.268 1.846 1.846 
0.267 2.166 2.166 
0.834 0.706 0.706 
0.934 1.791 1.791 
0.635 1.801 1.801 
0.283 1.466 1.466 
0.868 0.012 0.012 
0.468 2.275 2.275 
0.433 3.214 3.214 
0.801 3.992 5.989 
0.217 1.519 1.519 
0.250 2.076 2.076 
0.735 1.134 1.134 
0.684 0.657 0.657 
0.618 0.685 0.685 
0.784 0.695 0.695 
0.768 1.713 1.713 
0.834 1.905 1.905 
0.434 1.187 1.187 
0.750 1.384 1.384 
0.651 1.718 1.718 
0.518 0.696 0.696 
0.251 1.572 1.572 
0.834 1.749 1.749 
0.468 1.085 1.085 
0.684 0.806 0.806 
0.801 0.649 0.649 
0.284 0.803 0.803 
0.301 2.051 2.051 
0.651 0.734 0.734 
0.584 1.636 1.636 
0.918 1.886 1.886 
0.835 0.944 0.944 
0.785 0.625 0.625 
0.250 0.601 0.601 
0.267 1.032 1.032 
0.267 1.499 1.499 
0.834 0.898 0.898 
0.952 0.562 0.562 
0.752 3.433 3.433 
0.316 2.400 2.400 
0.784 0.574 0.574 
0.284 0.515 0.515 
0.301 1.732 1.732 
0.717 1.517 1.517 
0.466 0.672 0.672 
0.734 1.707 1.707 
0.801 2.718 2.718 
0.668 1.475 1.475 
0.801 1.683 1.683 
0.384 2.000 2.000 
0.784 0.981 0.981 
0.984 0.499 0.499 
0.902 1.801 1.801 
0.267 0.735 0.735 
0.500 1.604 1.604 
0.501 1.070 1.070 
0.751 1.636 1.636 
0.684 1.919 1.919 
0.835 2.526 2.526 
0.501 1.631 1.631 
0.367 0.618 0.618 
0.267 0.674 0.674 
0.818 1.885 1.885 
0.368 0.831 0.831 
0.516 0.851 0.851 
0.651 0.610 0.610 
0.384 1.415 1.415 
0.717 1.325 1.325 
