<><><><><><><><> 
Begin: 29-May-2014 11:46:37 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s01 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.670 1.670 
0.534 0.973 0.973 
0.567 1.412 1.412 
0.249 2.581 2.581 
0.567 1.006 1.006 
0.450 1.072 1.072 
0.250 1.050 1.050 
0.317 0.951 0.951 
0.417 0.863 0.863 
0.584 0.831 0.831 
0.584 1.017 1.017 
0.266 1.345 1.345 
0.585 0.788 0.788 
0.584 1.028 1.028 
0.400 1.345 1.345 
0.517 1.083 1.083 
0.267 1.367 1.367 
0.367 0.951 0.951 
0.568 1.531 1.531 
0.517 0.897 0.897 
0.584 1.640 1.640 
0.467 1.509 1.509 
0.217 1.006 1.006 
0.534 1.181 1.181 
0.567 1.487 1.487 
0.467 1.116 1.116 
0.502 1.028 1.028 
0.500 1.148 1.148 
0.367 0.885 0.885 
0.468 1.018 1.018 
0.267 1.061 1.061 
0.484 1.017 1.017 
0.216 1.094 1.094 
0.316 1.170 1.170 
0.217 1.357 1.357 
0.249 1.115 1.115 
0.534 0.886 0.886 
0.485 0.962 0.962 
0.334 1.138 1.138 
0.584 0.776 0.776 
0.217 1.094 1.094 
0.384 1.246 1.246 
0.350 1.924 1.924 
0.501 0.974 0.974 
0.517 1.126 1.126 
0.284 1.476 1.476 
0.400 1.323 1.323 
0.384 0.908 0.908 
0.467 0.875 0.875 
0.484 1.115 1.115 
0.500 0.929 0.929 
0.318 0.864 0.864 
0.467 0.799 0.799 
0.467 1.105 1.105 
0.267 1.487 1.487 
0.250 1.696 1.696 
0.400 1.258 1.258 
0.584 1.258 1.258 
0.334 2.615 2.615 
0.434 1.563 1.563 
0.284 2.100 2.100 
0.501 1.214 1.214 
0.300 0.962 0.962 
0.400 0.963 0.963 
0.484 0.984 0.984 
0.551 0.831 0.831 
0.584 1.094 1.094 
0.417 0.755 0.755 
0.251 1.641 1.641 
0.266 1.334 1.334 
0.300 1.192 1.192 
0.534 1.246 1.246 
0.300 1.444 1.444 
0.534 1.170 1.170 
0.300 1.672 1.672 
0.567 0.952 0.952 
0.334 0.963 0.963 
0.284 1.094 1.094 
0.300 2.438 2.438 
0.451 0.799 0.799 
0.384 2.187 2.187 
0.350 1.608 1.608 
0.534 0.798 0.798 
0.434 1.159 1.159 
0.417 0.919 0.919 
0.567 0.908 0.908 
0.316 2.909 2.909 
0.500 0.985 0.985 
0.500 1.421 1.421 
0.350 1.106 1.106 
0.434 0.919 0.919 
0.234 1.499 1.499 
0.217 1.072 1.072 
0.417 0.820 0.820 
0.517 0.908 0.908 
0.567 0.952 0.952 
0.250 1.312 1.312 
0.434 0.974 0.974 
0.384 0.896 0.896 
0.200 0.842 0.842 
0.334 1.422 1.422 
0.268 1.793 1.793 
0.517 1.684 1.684 
0.333 0.679 0.679 
0.417 1.115 1.115 
0.266 1.094 1.094 
0.450 1.445 1.445 
0.300 1.246 1.246 
0.467 1.060 1.060 
0.484 0.907 0.907 
0.501 1.192 1.192 
0.384 1.225 1.225 
0.234 1.497 1.497 
