<><><><><><><><> 
Begin: 29-Aug-2014 14:40:21 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s08 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.236 2.236 
0.534 1.117 1.117 
0.567 1.239 1.239 
0.250 0.690 0.690 
0.568 0.646 0.646 
0.451 0.821 0.821 
0.234 0.996 0.996 
0.317 0.744 0.744 
0.417 0.787 0.787 
0.584 0.918 0.918 
0.584 0.887 0.887 
0.268 1.840 1.840 
0.584 2.442 2.442 
0.585 0.821 0.821 
0.400 1.194 1.194 
0.517 0.822 0.822 
0.267 1.214 1.214 
0.367 1.051 1.051 
0.568 1.665 1.665 
0.517 0.931 0.931 
0.585 0.865 0.865 
0.467 0.899 0.899 
0.216 0.679 0.679 
0.535 0.668 0.668 
0.584 0.635 0.635 
0.468 1.161 1.161 
0.501 0.657 0.657 
0.501 0.842 0.842 
0.367 0.712 0.712 
0.467 0.811 0.811 
0.267 0.580 0.580 
0.484 0.722 0.722 
0.217 0.678 0.678 
0.318 0.996 0.996 
0.217 1.073 1.073 
0.234 0.777 0.777 
0.534 0.668 0.668 
0.484 1.522 1.522 
0.334 0.986 0.986 
0.584 1.128 1.128 
0.216 0.799 0.799 
0.384 0.954 0.954 
0.350 1.029 1.029 
0.516 0.700 0.700 
0.517 1.335 1.335 
0.284 0.931 0.931 
0.400 1.061 1.061 
0.384 1.116 1.116 
0.467 0.799 0.799 
0.484 0.679 0.679 
0.501 0.820 0.820 
0.317 0.942 0.942 
0.468 0.745 0.745 
0.467 0.975 0.975 
0.267 0.844 0.844 
0.251 1.478 1.478 
0.401 0.723 0.723 
0.584 0.920 0.920 
0.334 1.511 1.511 
0.434 0.591 0.591 
0.284 1.073 1.073 
0.501 1.784 1.784 
0.300 0.887 0.887 
0.400 0.843 0.843 
0.485 0.548 0.548 
0.567 0.624 0.624 
0.583 0.854 0.854 
0.417 0.833 0.833 
0.251 1.467 1.467 
0.267 0.514 0.514 
0.301 0.832 0.832 
0.534 0.471 0.471 
0.300 0.613 0.613 
0.534 0.504 0.504 
0.300 0.778 0.778 
0.566 0.723 0.723 
0.350 0.887 0.887 
0.283 0.854 0.854 
0.300 1.019 1.019 
0.451 1.062 1.062 
0.400 0.876 0.876 
0.349 1.456 1.456 
0.534 0.700 0.700 
0.435 1.237 1.237 
0.416 0.800 0.800 
0.567 0.799 0.799 
0.318 0.734 0.734 
0.501 0.777 0.777 
0.500 1.489 1.489 
0.351 1.501 1.501 
0.434 0.591 0.591 
0.234 0.931 0.931 
0.217 0.799 0.799 
0.418 0.679 0.679 
0.517 0.701 0.701 
0.584 0.756 0.756 
0.250 0.646 0.646 
0.434 0.767 0.767 
0.384 0.998 0.998 
0.216 1.314 1.314 
0.334 0.810 0.810 
0.267 0.756 0.756 
0.518 0.766 0.766 
0.334 0.591 0.591 
0.417 0.569 0.569 
0.266 0.537 0.537 
0.450 0.789 0.789 
0.301 1.292 1.292 
0.466 0.854 0.854 
0.483 0.755 0.755 
0.501 0.723 0.723 
0.383 1.270 1.270 
0.233 0.701 0.701 
0.300 1.249 1.249 
0.567 0.985 0.985 
0.267 0.898 0.898 
0.533 1.588 1.588 
0.417 1.445 1.445 
0.601 0.822 0.822 
0.234 1.007 1.007 
0.383 1.150 1.150 
0.250 1.083 1.083 
0.584 0.854 0.854 
0.201 0.942 0.942 
0.517 0.832 0.832 
0.534 0.548 0.548 
0.551 1.040 1.040 
0.234 1.216 1.216 
0.367 0.822 0.822 
0.301 1.029 1.029 
0.517 0.766 0.766 
0.368 0.734 0.734 
0.568 0.875 0.875 
0.267 0.953 0.953 
0.316 0.756 0.756 
0.266 1.072 1.072 
0.251 0.908 0.908 
0.551 1.050 1.050 
0.433 1.325 1.325 
0.418 0.690 0.690 
0.266 0.744 0.744 
0.550 0.821 0.821 
0.451 0.734 0.734 
0.350 0.854 0.854 
0.400 0.734 0.734 
0.367 0.745 0.745 
0.235 0.668 0.668 
0.301 0.821 0.821 
0.251 0.734 0.734 
0.283 0.657 0.657 
0.300 0.821 0.821 
0.367 0.920 0.920 
0.217 0.723 0.723 
0.568 1.281 1.281 
0.583 0.722 0.722 
0.400 0.821 0.821 
0.401 0.689 0.689 
0.333 0.930 0.930 
0.567 1.347 1.347 
0.351 1.007 1.007 
0.250 0.745 0.745 
0.517 0.778 0.778 
0.351 0.537 0.537 
0.300 0.711 0.711 
0.368 1.040 1.040 
0.233 0.482 0.482 
0.250 0.996 0.996 
0.584 0.701 0.701 
0.584 0.734 0.734 
0.433 0.821 0.821 
0.233 1.095 1.095 
0.300 0.755 0.755 
0.350 0.788 0.788 
0.533 0.931 0.931 
0.216 0.986 0.986 
0.216 0.723 0.723 
0.267 1.182 1.182 
0.467 0.656 0.656 
0.500 0.515 0.515 
0.467 0.711 0.711 
0.384 0.877 0.877 
0.417 1.269 1.269 
0.317 0.788 0.788 
0.501 1.172 1.172 
0.284 1.073 1.073 
0.484 0.865 0.865 
0.283 0.821 0.821 
0.351 0.822 0.822 
0.452 0.941 0.941 
0.517 1.172 1.172 
0.234 0.865 0.865 
0.567 0.526 0.526 
0.517 1.160 1.160 
0.401 1.007 1.007 
0.384 0.800 0.800 
0.384 1.029 1.029 
0.333 0.722 0.722 
0.399 2.125 2.125 
0.400 1.324 1.324 
0.534 0.734 0.734 
0.517 0.777 0.777 
0.467 0.996 0.996 
0.350 1.225 1.225 
0.534 1.040 1.040 
0.417 1.214 1.214 
0.350 0.679 0.679 
0.584 1.425 1.425 
0.551 0.821 0.821 
0.417 0.941 0.941 
0.451 1.128 1.128 
0.434 0.909 0.909 
0.284 0.975 0.975 
0.317 0.734 0.734 
0.385 1.063 1.063 
0.300 0.690 0.690 
0.534 0.876 0.876 
0.284 0.722 0.722 
0.300 1.456 1.456 
0.267 1.599 1.599 
0.300 1.007 1.007 
0.383 0.734 0.734 
0.334 0.953 0.953 
0.567 0.722 0.722 
0.367 0.798 0.798 
0.283 0.711 0.711 
0.567 0.887 0.887 
0.600 0.788 0.788 
0.384 0.963 0.963 
0.250 0.733 0.733 
0.300 0.657 0.657 
0.366 0.723 0.723 
0.433 0.712 0.712 
0.301 1.194 1.194 
0.450 0.767 0.767 
0.484 0.865 0.865 
0.283 0.733 0.733 
0.250 0.625 0.625 
0.317 0.504 0.504 
0.334 1.401 1.401 
0.367 0.482 0.482 
0.400 1.007 1.007 
0.234 0.635 0.635 
0.300 0.646 0.646 
0.518 0.755 0.755 
0.217 0.952 0.952 
0.567 0.766 0.766 
0.501 0.504 0.504 
0.400 0.635 0.635 
0.434 0.712 0.712 
0.300 0.876 0.876 
0.384 0.722 0.722 
0.583 0.777 0.777 
0.417 0.788 0.788 
0.417 0.591 0.591 
0.300 0.701 0.701 
0.400 1.019 1.019 
0.451 0.854 0.854 
0.467 0.668 0.668 
0.367 0.680 0.680 
0.350 0.635 0.635 
0.601 1.247 1.247 
0.217 0.777 0.777 
0.550 0.723 0.723 
0.567 1.324 1.324 
0.517 0.701 0.701 
0.250 0.678 0.678 
0.300 2.322 2.322 
0.333 0.711 0.711 
0.467 1.215 1.215 
0.250 0.745 0.745 
0.484 1.543 1.543 
0.250 0.788 0.788 
0.467 0.931 0.931 
0.401 0.679 0.679 
0.516 2.070 2.070 
0.484 0.777 0.777 
0.568 0.953 0.953 
0.551 0.788 0.788 
0.335 0.789 0.789 
