<><><><><><><><> 
Begin: 27-Jun-2014 14:10:03 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s04 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.475 1.475 
0.217 1.597 1.597 
0.501 2.068 2.068 
0.401 1.302 1.302 
0.501 1.773 1.773 
0.552 1.094 1.094 
0.501 1.729 1.729 
0.350 1.412 1.412 
0.267 0.842 0.842 
0.534 1.072 1.072 
0.384 1.073 1.073 
0.584 0.733 0.733 
0.418 1.049 1.049 
0.418 1.137 1.137 
0.601 0.744 0.744 
0.250 1.050 1.050 
0.467 1.170 1.170 
0.567 1.346 1.346 
0.401 1.126 1.126 
0.434 0.985 0.985 
0.300 1.630 1.630 
0.234 1.126 1.126 
0.468 1.269 1.269 
0.433 0.908 0.908 
0.567 1.237 1.237 
0.450 0.919 0.919 
0.300 1.565 1.565 
0.251 1.183 1.183 
0.434 2.375 2.375 
0.317 1.249 1.249 
0.267 0.865 0.865 
0.467 1.105 1.105 
0.250 1.094 1.094 
0.484 1.401 1.401 
0.484 1.237 1.237 
0.584 1.007 1.007 
0.233 1.214 1.214 
0.467 1.389 1.389 
0.534 1.401 1.401 
0.401 1.018 1.018 
0.200 1.237 1.237 
0.250 2.264 2.264 
0.418 0.832 0.832 
0.350 1.083 1.083 
0.234 1.367 1.367 
0.384 1.182 1.182 
0.451 1.017 1.017 
0.584 1.368 1.368 
0.467 1.971 1.971 
0.451 1.302 1.302 
0.234 0.930 0.930 
0.317 1.116 1.116 
0.383 1.139 1.139 
0.300 0.974 0.974 
0.216 0.974 0.974 
0.418 0.832 0.832 
0.434 1.499 1.499 
0.383 1.072 1.072 
0.584 1.017 1.017 
0.434 1.138 1.138 
0.384 1.204 1.204 
0.233 1.095 1.095 
0.517 1.740 1.740 
0.467 1.062 1.062 
0.384 0.963 0.963 
0.418 1.498 1.498 
0.300 1.204 1.204 
0.250 1.553 1.553 
0.601 1.279 1.279 
0.501 1.488 1.488 
0.601 0.920 0.920 
0.250 0.077 0.077 
0.316 1.488 1.488 
0.550 1.127 1.127 
0.284 1.073 1.073 
0.200 1.380 1.380 
0.268 1.171 1.171 
0.534 1.356 1.356 
0.384 1.148 1.148 
0.201 1.488 1.488 
0.334 1.587 1.587 
0.384 0.799 0.799 
0.484 0.733 0.733 
0.267 1.280 1.280 
0.284 0.755 0.755 
0.333 1.171 1.171 
0.350 1.980 1.980 
0.450 1.312 1.312 
0.418 2.418 2.418 
0.468 1.051 1.051 
0.451 1.259 1.259 
0.550 1.006 1.006 
0.400 0.963 0.963 
0.518 0.876 0.876 
0.351 1.051 1.051 
0.434 1.827 1.827 
0.583 1.049 1.049 
0.284 0.996 0.996 
0.266 1.445 1.445 
0.234 2.802 2.802 
0.534 1.706 1.706 
0.250 1.707 1.707 
0.567 1.028 1.028 
0.417 0.974 0.974 
0.317 1.860 1.860 
0.501 0.974 0.974 
0.584 1.641 1.641 
0.283 3.108 3.108 
0.350 1.018 1.018 
0.318 1.029 1.029 
0.367 0.963 0.963 
0.217 3.195 3.195 
0.218 2.396 2.396 
0.500 3.117 3.117 
0.218 1.671 1.671 
0.484 1.488 1.488 
0.434 1.527 1.527 
0.568 1.257 1.257 
0.233 1.554 1.554 
0.567 0.897 0.897 
0.517 0.833 0.833 
0.251 1.194 1.194 
0.300 0.875 0.875 
0.534 1.073 1.073 
0.383 0.931 0.931 
0.500 2.365 2.365 
0.533 0.920 0.920 
0.583 0.961 0.961 
0.333 0.940 0.940 
0.400 0.787 0.787 
0.401 1.367 1.367 
0.501 0.940 0.940 
0.268 1.159 1.159 
0.434 1.806 1.806 
0.367 0.963 0.963 
0.368 1.466 1.466 
0.450 1.259 1.259 
0.450 0.885 0.885 
0.551 0.678 0.678 
0.467 0.886 0.886 
0.500 0.918 0.918 
0.551 1.925 1.925 
0.567 1.609 1.609 
0.417 2.626 2.626 
0.484 1.051 1.051 
0.367 1.706 1.706 
0.233 3.992 5.996 
0.568 1.083 1.083 
0.451 1.259 1.259 
0.384 0.996 0.996 
0.534 1.215 1.215 
0.501 1.083 1.083 
0.267 1.575 1.575 
0.583 1.794 1.794 
0.284 2.363 2.363 
0.517 3.140 3.140 
0.550 2.341 2.341 
0.600 1.269 1.269 
0.267 0.810 0.810 
0.233 2.101 2.101 
0.518 1.641 1.641 
0.450 0.066 0.066 
0.334 0.930 0.930 
0.433 1.017 1.017 
0.284 1.182 1.182 
0.551 1.488 1.488 
0.601 0.831 0.831 
0.317 3.042 3.042 
0.250 1.127 1.127 
0.567 0.744 0.744 
0.318 0.886 0.886 
0.434 3.996 5.995 
0.400 1.345 1.345 
0.316 1.007 1.007 
0.284 0.887 0.887 
0.333 0.984 0.984 
0.585 1.029 1.029 
0.567 1.708 1.708 
0.518 1.203 1.203 
0.267 1.750 1.750 
0.217 1.094 1.094 
0.485 0.995 0.995 
0.450 1.991 1.991 
0.300 0.984 0.984 
0.318 1.257 1.257 
0.501 1.532 1.532 
0.250 1.936 1.936 
0.334 1.532 1.532 
0.266 0.865 0.865 
0.467 0.722 0.722 
0.418 1.718 1.718 
0.299 0.930 0.930 
0.583 0.810 0.810 
0.384 0.722 0.722 
0.517 1.084 1.084 
0.468 1.171 1.171 
0.601 1.489 1.489 
0.350 1.653 1.653 
0.468 2.418 2.418 
0.500 3.993 5.986 
0.317 1.313 1.313 
0.234 1.433 1.433 
0.434 0.919 0.919 
0.484 0.843 0.843 
0.367 1.171 1.171 
0.517 1.313 1.313 
0.417 1.880 1.880 
0.334 1.149 1.149 
0.300 1.990 1.990 
0.333 1.192 1.192 
0.517 2.364 2.364 
0.300 1.029 1.029 
0.434 1.281 1.281 
0.483 1.182 1.182 
0.350 1.128 1.128 
0.550 1.795 1.795 
0.467 1.128 1.128 
0.234 1.357 1.357 
0.350 1.794 1.794 
0.317 0.985 0.985 
0.283 1.541 1.541 
0.450 0.962 0.962 
0.368 2.538 2.538 
0.349 3.939 3.939 
0.434 3.993 5.996 
0.284 1.991 1.991 
0.501 1.302 1.302 
0.501 0.656 0.656 
0.384 1.609 1.609 
0.434 0.689 0.689 
0.534 2.165 2.165 
0.250 3.349 3.349 
0.551 1.105 1.105 
0.317 0.964 0.964 
0.534 2.341 2.341 
0.467 1.511 1.511 
0.250 1.609 1.609 
0.534 1.018 1.018 
0.284 0.799 0.799 
0.217 1.029 1.029 
0.317 0.831 0.831 
0.384 0.963 0.963 
0.267 4.005 6.002 
0.467 2.516 2.516 
0.468 1.138 1.138 
0.584 0.930 0.930 
0.266 1.335 1.335 
0.467 0.646 0.646 
0.268 0.667 0.667 
0.268 1.171 1.171 
0.434 1.410 1.410 
0.600 1.444 1.444 
0.300 1.335 1.335 
0.335 1.477 1.477 
0.501 1.816 1.816 
0.316 1.083 1.083 
0.551 1.072 1.072 
0.484 1.128 1.128 
0.484 1.149 1.149 
0.584 2.025 2.025 
0.450 1.028 1.028 
0.368 0.723 0.723 
0.434 1.029 1.029 
0.333 1.850 1.850 
0.534 0.996 0.996 
0.417 0.821 0.821 
0.550 0.734 0.734 
0.568 2.176 2.176 
0.217 0.831 0.831 
0.467 3.992 5.996 
0.517 1.389 1.389 
0.200 2.057 2.057 
0.518 2.154 2.154 
0.567 0.985 0.985 
0.250 3.993 5.996 
0.517 1.816 1.816 
0.268 1.433 1.433 
0.267 1.794 1.794 
0.233 1.126 1.126 
