<><><><><><><><> 
Begin: 24-Jul-2014 15:14:37 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s08 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.283 2.283 
0.534 1.314 1.314 
0.567 1.357 1.357 
0.251 1.708 1.708 
0.567 2.243 2.243 
0.451 2.222 2.222 
0.250 1.730 1.730 
0.317 2.999 2.999 
0.417 1.051 1.051 
0.585 1.226 1.226 
0.584 1.138 1.138 
0.266 1.391 1.391 
0.583 1.587 1.587 
0.583 1.609 1.609 
0.400 1.653 1.653 
0.517 2.221 2.221 
0.266 1.367 1.367 
0.367 1.959 1.959 
0.567 1.544 1.544 
0.518 1.062 1.062 
0.585 1.730 1.730 
0.467 0.767 0.767 
0.217 2.023 2.023 
0.550 1.949 1.949 
0.584 2.059 2.059 
0.467 1.510 1.510 
0.501 1.915 1.915 
0.501 0.997 0.997 
0.366 1.445 1.445 
0.468 1.631 1.631 
0.268 1.729 1.729 
0.484 2.069 2.069 
0.217 2.278 2.278 
0.317 2.168 2.168 
0.217 1.181 1.181 
0.250 2.396 2.396 
0.533 1.468 1.468 
0.484 1.281 1.281 
0.334 2.070 2.070 
0.584 1.566 1.566 
0.217 2.606 2.606 
0.384 1.949 1.949 
0.350 2.529 2.529 
0.516 2.900 2.900 
0.517 1.642 1.642 
0.283 1.806 1.806 
0.400 1.554 1.554 
0.384 1.182 1.182 
0.467 1.346 1.346 
0.484 1.456 1.456 
0.500 2.342 2.342 
0.317 1.697 1.697 
0.467 2.266 2.266 
0.468 1.741 1.741 
0.267 2.452 2.452 
0.250 2.890 2.890 
0.400 3.395 3.395 
0.585 1.247 1.247 
0.333 1.587 1.587 
0.434 1.303 1.303 
0.284 1.315 1.315 
0.500 1.708 1.708 
0.301 2.190 2.190 
0.401 2.178 2.178 
0.484 3.109 3.109 
0.566 1.981 1.981 
0.584 1.905 1.905 
0.418 2.058 2.058 
0.251 1.400 1.400 
0.267 1.226 1.226 
0.300 1.324 1.324 
0.534 1.665 1.665 
0.300 1.916 1.916 
0.534 1.784 1.784 
0.301 1.587 1.587 
0.567 2.025 2.025 
0.350 2.123 2.123 
0.284 1.850 1.850 
0.300 1.248 1.248 
0.450 1.302 1.302 
0.384 2.715 2.715 
0.350 2.530 2.530 
0.533 1.290 1.290 
0.433 1.160 1.160 
0.417 1.587 1.587 
0.568 1.150 1.150 
0.318 1.433 1.433 
0.501 2.561 2.561 
0.501 2.003 2.003 
0.350 1.663 1.663 
0.433 2.976 2.976 
0.234 1.948 1.948 
0.218 1.270 1.270 
0.418 2.004 2.004 
0.518 1.171 1.171 
0.584 1.073 1.073 
0.250 1.040 1.040 
0.435 1.817 1.817 
0.384 2.070 2.070 
0.201 1.401 1.401 
0.334 1.773 1.773 
0.267 1.740 1.740 
0.518 1.170 1.170 
0.334 1.686 1.686 
0.417 1.062 1.062 
0.268 1.488 1.488 
0.449 1.697 1.697 
0.301 2.539 2.539 
0.467 1.150 1.150 
0.484 1.762 1.762 
0.500 1.172 1.172 
0.384 2.276 2.276 
0.234 1.970 1.970 
0.300 1.457 1.457 
0.567 2.145 2.145 
0.268 1.084 1.084 
0.534 1.696 1.696 
0.418 1.214 1.214 
0.601 2.638 2.638 
0.234 1.663 1.663 
0.384 2.265 2.265 
0.250 1.554 1.554 
0.584 1.905 1.905 
0.201 2.343 2.343 
0.517 1.849 1.849 
0.534 2.046 2.046 
0.551 1.883 1.883 
0.234 1.554 1.554 
0.367 2.847 2.847 
0.300 1.435 1.435 
0.517 2.199 2.199 
0.367 2.233 2.233 
0.567 1.544 1.544 
0.268 1.478 1.478 
0.300 1.642 1.642 
0.267 2.933 2.933 
0.250 2.977 2.977 
0.551 2.364 2.364 
0.434 2.639 2.639 
0.417 2.550 2.550 
0.267 1.160 1.160 
0.550 2.529 2.529 
0.451 1.774 1.774 
0.350 2.115 2.115 
0.401 2.802 2.802 
0.367 3.241 3.241 
0.234 2.474 2.474 
0.300 1.839 1.839 
0.251 1.117 1.117 
0.284 1.018 1.018 
0.301 1.980 1.980 
0.368 1.523 1.523 
0.217 1.784 1.784 
0.567 1.992 1.992 
0.584 2.189 2.189 
0.400 1.652 1.652 
0.400 1.970 1.970 
0.333 0.986 0.986 
0.567 1.915 1.915 
0.350 1.106 1.106 
0.250 1.993 1.993 
0.517 1.993 1.993 
0.350 1.434 1.434 
0.301 1.950 1.950 
0.368 1.403 1.403 
0.233 1.249 1.249 
0.250 1.598 1.598 
0.583 1.500 1.500 
0.585 2.563 2.563 
0.434 1.095 1.095 
0.233 1.587 1.587 
0.300 1.401 1.401 
0.350 1.150 1.150 
0.534 1.599 1.599 
0.201 0.800 0.800 
0.217 3.373 3.373 
0.267 1.960 1.960 
0.467 2.355 2.355 
0.500 3.066 3.066 
0.467 3.319 3.319 
0.384 2.145 2.145 
0.417 2.583 2.583 
0.317 2.048 2.048 
0.501 2.770 2.770 
0.284 1.981 1.981 
0.483 3.546 3.546 
0.284 1.423 1.423 
0.351 2.036 2.036 
0.451 1.565 1.565 
0.518 1.478 1.478 
0.233 1.838 1.838 
0.567 3.230 3.230 
0.517 3.199 3.199 
0.399 2.495 2.495 
0.383 2.879 2.879 
0.384 1.958 1.958 
0.317 2.265 2.265 
0.400 1.051 1.051 
0.401 2.659 2.659 
0.533 1.280 1.280 
0.517 2.529 2.529 
0.467 1.073 1.073 
0.350 1.587 1.587 
0.533 1.653 1.653 
0.417 3.031 3.031 
0.350 2.298 2.298 
0.583 2.891 2.891 
0.550 1.687 1.687 
0.417 3.998 4.158 
0.450 1.718 1.718 
0.434 2.231 2.231 
0.284 1.238 1.238 
0.317 1.674 1.674 
0.384 1.719 1.719 
0.300 2.887 2.887 
0.534 3.459 3.459 
0.283 1.522 1.522 
0.300 1.872 1.872 
0.268 2.374 2.374 
0.300 1.171 1.171 
0.383 2.047 2.047 
0.334 1.663 1.663 
0.567 2.112 2.112 
0.367 1.434 1.434 
0.284 2.614 2.614 
0.568 1.994 1.994 
0.600 1.905 1.905 
0.384 1.849 1.849 
0.250 1.926 1.926 
0.300 2.069 2.069 
0.366 1.423 1.423 
0.434 0.876 0.876 
0.301 1.258 1.258 
0.450 1.434 1.434 
0.484 2.790 2.790 
0.283 2.146 2.146 
0.251 1.773 1.773 
0.317 1.949 1.949 
0.334 1.225 1.225 
0.366 1.346 1.346 
0.400 2.956 2.956 
0.234 1.488 1.488 
0.301 2.452 2.452 
0.517 1.916 1.916 
0.218 2.234 2.234 
0.568 2.045 2.045 
0.500 1.028 1.028 
0.400 1.017 1.017 
0.434 1.477 1.477 
0.301 2.857 2.857 
0.384 1.466 1.466 
0.584 2.911 2.911 
0.418 1.139 1.139 
0.417 1.128 1.128 
0.300 1.499 1.499 
0.401 3.013 3.013 
0.451 1.326 1.326 
0.468 1.293 1.293 
0.367 2.563 2.563 
0.350 2.268 2.268 
0.602 1.029 1.029 
0.216 1.522 1.522 
0.551 1.247 1.247 
0.567 1.696 1.696 
0.517 1.860 1.860 
0.235 1.084 1.084 
0.301 1.357 1.357 
0.334 1.379 1.379 
0.466 1.204 1.204 
0.251 1.893 1.893 
0.484 2.913 2.913 
0.250 1.314 1.314 
0.467 1.850 1.850 
0.400 1.050 1.050 
0.517 1.807 1.807 
0.483 2.616 2.616 
0.567 2.081 2.081 
0.567 1.762 1.762 
0.334 1.982 1.982 
