<><><><><><><><> 
Begin: 25-Sep-2014 10:44:58 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s20 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.599 1.599 
0.534 1.007 1.007 
0.567 0.843 0.843 
0.250 1.105 1.105 
0.567 1.312 1.312 
0.451 1.772 1.772 
0.234 0.831 0.831 
0.317 0.842 0.842 
0.417 1.214 1.214 
0.584 0.733 0.733 
0.584 0.778 0.778 
0.267 1.225 1.225 
0.584 0.777 0.777 
0.584 0.756 0.756 
0.400 0.930 0.930 
0.518 1.597 1.597 
0.266 1.728 1.728 
0.367 0.974 0.974 
0.567 0.986 0.986 
0.517 1.115 1.115 
0.584 1.477 1.477 
0.467 1.290 1.290 
0.216 1.007 1.007 
0.550 1.018 1.018 
0.584 0.984 0.984 
0.467 1.215 1.215 
0.500 0.918 0.918 
0.502 0.963 0.963 
0.367 0.821 0.821 
0.467 1.203 1.203 
0.267 1.062 1.062 
0.483 0.832 0.832 
0.217 0.865 0.865 
0.318 1.061 1.061 
0.218 1.488 1.488 
0.233 1.521 1.521 
0.534 1.138 1.138 
0.484 0.831 0.831 
0.334 0.930 0.930 
0.584 0.777 0.777 
0.217 0.985 0.985 
0.384 0.875 0.875 
0.351 4.004 4.590 
0.502 1.028 1.028 
0.518 1.071 1.071 
0.283 1.401 1.401 
0.401 1.028 1.028 
0.384 0.974 0.974 
0.467 1.412 1.412 
0.483 1.028 1.028 
0.501 1.620 1.620 
0.317 1.116 1.116 
0.467 1.400 1.400 
0.468 1.576 1.576 
0.267 1.148 1.148 
0.250 0.963 0.963 
0.400 0.853 0.853 
0.584 1.739 1.739 
0.334 1.072 1.072 
0.433 1.368 1.368 
0.300 1.739 1.739 
0.502 1.301 1.301 
0.301 2.156 2.156 
0.400 0.953 0.953 
0.484 1.050 1.050 
0.551 0.832 0.832 
0.584 1.477 1.477 
0.416 1.793 1.793 
0.251 1.804 1.804 
0.266 2.034 2.034 
0.301 1.137 1.137 
0.534 0.755 0.755 
0.300 1.007 1.007 
0.534 1.215 1.215 
0.300 1.313 1.313 
0.567 1.094 1.094 
0.350 1.389 1.389 
0.284 1.564 1.564 
0.300 1.237 1.237 
0.450 1.762 1.762 
0.384 1.051 1.051 
0.350 1.410 1.410 
0.533 1.183 1.183 
0.434 0.940 0.940 
0.417 0.909 0.909 
0.567 0.974 0.974 
0.318 0.919 0.919 
0.501 0.842 0.842 
0.500 1.292 1.292 
0.350 1.411 1.411 
0.434 1.400 1.400 
0.233 1.543 1.543 
0.217 1.072 1.072 
0.417 0.777 0.777 
0.518 1.805 1.805 
0.584 1.015 1.015 
0.250 1.685 1.685 
0.434 1.128 1.128 
0.383 1.215 1.215 
0.200 1.674 1.674 
0.334 3.369 3.369 
0.267 1.170 1.170 
0.517 2.453 2.453 
0.334 1.193 1.193 
0.417 1.139 1.139 
0.266 1.160 1.160 
0.450 0.963 0.963 
0.301 2.855 2.855 
0.467 1.028 1.028 
0.483 1.456 1.456 
0.500 1.423 1.423 
0.384 2.155 2.155 
0.234 1.313 1.313 
0.300 2.024 2.024 
0.567 1.324 1.324 
0.266 0.875 0.875 
0.534 0.854 0.854 
0.417 0.777 0.777 
0.601 0.995 0.995 
0.234 1.511 1.511 
0.384 0.842 0.842 
0.250 1.465 1.465 
0.585 1.214 1.214 
0.200 0.885 0.885 
0.517 1.094 1.094 
0.533 1.051 1.051 
0.551 1.061 1.061 
0.233 0.886 0.886 
0.368 1.740 1.740 
0.301 1.160 1.160 
0.517 0.942 0.942 
0.367 0.930 0.930 
0.567 0.722 0.722 
0.268 0.886 0.886 
0.300 1.411 1.411 
0.267 1.106 1.106 
0.250 0.843 0.843 
0.551 0.754 0.754 
0.434 1.213 1.213 
0.417 0.974 0.974 
0.267 1.115 1.115 
0.550 1.116 1.116 
0.450 1.029 1.029 
0.350 0.952 0.952 
0.400 0.951 0.951 
0.367 0.831 0.831 
0.234 0.821 0.821 
0.300 0.832 0.832 
0.251 0.996 0.996 
0.283 1.423 1.423 
0.301 0.975 0.975 
0.368 0.722 0.722 
0.217 0.940 0.940 
0.567 1.367 1.367 
0.585 0.920 0.920 
0.400 1.028 1.028 
0.400 1.203 1.203 
0.334 0.887 0.887 
0.567 1.006 1.006 
0.350 1.663 1.663 
0.251 0.963 0.963 
0.518 0.788 0.788 
0.366 1.724 1.724 
0.301 0.734 0.734 
0.367 1.134 1.134 
0.234 1.094 1.094 
0.250 0.843 0.843 
0.585 0.766 0.766 
0.585 1.007 1.007 
0.434 1.247 1.247 
0.233 0.809 0.809 
0.300 0.908 0.908 
0.350 0.700 0.700 
0.533 3.993 4.223 
0.216 1.192 1.192 
0.217 1.532 1.532 
0.266 0.985 0.985 
0.467 1.138 1.138 
0.501 1.739 1.739 
0.467 1.312 1.312 
0.385 1.739 1.739 
0.417 1.783 1.783 
0.318 0.974 0.974 
0.500 1.368 1.368 
0.283 0.898 0.898 
0.483 2.056 2.056 
0.283 0.898 0.898 
0.350 0.929 0.929 
0.451 0.953 0.953 
0.516 1.532 1.532 
0.234 0.985 0.985 
0.568 0.995 0.995 
0.517 1.071 1.071 
0.399 0.811 0.811 
0.383 1.281 1.281 
0.384 1.531 1.531 
0.317 0.995 0.995 
0.400 0.777 0.777 
0.400 2.451 2.451 
0.533 0.766 0.766 
0.517 1.072 1.072 
0.467 1.138 1.138 
0.351 1.346 1.346 
0.533 1.050 1.050 
0.417 0.744 0.744 
0.350 1.018 1.018 
0.583 0.930 0.930 
0.551 0.843 0.843 
0.418 1.357 1.357 
0.451 0.711 0.711 
0.433 0.951 0.951 
0.283 0.788 0.788 
0.316 0.853 0.853 
0.384 0.963 0.963 
0.300 0.744 0.744 
0.534 1.400 1.400 
0.284 2.428 2.428 
0.300 0.798 0.798 
0.267 0.820 0.820 
0.300 1.619 1.619 
0.384 2.243 2.243 
0.333 0.985 0.985 
0.567 1.159 1.159 
0.367 0.963 0.963 
0.284 0.908 0.908 
0.568 0.701 0.701 
0.600 2.561 2.561 
0.383 0.746 0.746 
0.250 1.117 1.117 
0.301 0.864 0.864 
0.367 1.422 1.422 
0.434 0.712 0.712 
0.301 0.952 0.952 
0.451 0.897 0.897 
0.484 0.700 0.700 
0.284 0.875 0.875 
0.251 0.689 0.689 
0.318 1.007 1.007 
0.334 1.194 1.194 
0.367 1.489 1.489 
0.400 3.106 3.106 
0.234 1.783 1.783 
0.300 0.919 0.919 
0.517 1.937 1.937 
0.216 1.061 1.061 
0.567 1.815 1.815 
0.500 1.357 1.357 
0.401 1.750 1.750 
0.434 1.576 1.576 
0.300 2.386 2.386 
0.384 1.543 1.543 
0.583 0.788 0.788 
0.418 1.652 1.652 
0.417 1.367 1.367 
0.300 1.412 1.412 
0.400 0.952 0.952 
0.451 1.192 1.192 
0.468 1.148 1.148 
0.367 0.941 0.941 
0.350 0.855 0.855 
0.601 0.788 0.788 
0.217 0.767 0.767 
0.550 0.984 0.984 
0.568 0.798 0.798 
0.517 1.226 1.226 
0.249 1.170 1.170 
0.300 1.138 1.138 
0.334 0.777 0.777 
0.467 0.843 0.843 
0.251 1.171 1.171 
0.483 0.984 0.984 
0.250 1.017 1.017 
0.468 0.919 0.919 
0.400 1.192 1.192 
0.517 0.613 0.613 
0.484 0.985 0.985 
0.567 1.794 1.794 
0.550 0.722 0.722 
0.334 1.170 1.170 
