<><><><><><><><> 
Begin: 16-Oct-2014 10:10:06 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s41 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.112 2.112 
0.533 1.138 1.138 
0.567 0.744 0.744 
0.251 0.864 0.864 
0.567 1.532 1.532 
0.451 0.777 0.777 
0.233 0.984 0.984 
0.317 1.520 1.520 
0.417 0.635 0.635 
0.584 1.061 1.061 
0.585 1.062 1.062 
0.266 1.564 1.564 
0.584 1.280 1.280 
0.584 1.477 1.477 
0.400 1.467 1.467 
0.518 1.554 1.554 
0.267 1.445 1.445 
0.367 1.533 1.533 
0.568 1.290 1.290 
0.517 1.652 1.652 
0.584 1.291 1.291 
0.467 0.875 0.875 
0.218 1.203 1.203 
0.550 1.018 1.018 
0.584 1.236 1.236 
0.469 0.820 0.820 
0.501 1.116 1.116 
0.501 1.105 1.105 
0.367 1.006 1.006 
0.467 1.717 1.717 
0.267 0.864 0.864 
0.483 0.798 0.798 
0.217 0.887 0.887 
0.318 0.864 0.864 
0.217 1.860 1.860 
0.234 1.280 1.280 
0.534 1.312 1.312 
0.484 1.170 1.170 
0.334 2.013 2.013 
0.584 0.833 0.833 
0.217 1.127 1.127 
0.383 0.930 0.930 
0.351 0.930 0.930 
0.501 1.017 1.017 
0.518 0.974 0.974 
0.284 1.106 1.106 
0.400 0.843 0.843 
0.384 1.006 1.006 
0.467 1.030 1.030 
0.483 1.029 1.029 
0.501 2.286 2.286 
0.316 0.887 0.887 
0.468 1.673 1.673 
0.467 1.344 1.344 
0.267 0.875 0.875 
0.251 1.106 1.106 
0.399 2.385 2.385 
0.584 1.914 1.914 
0.334 2.614 2.614 
0.434 0.996 0.996 
0.285 1.192 1.192 
0.501 0.985 0.985 
0.301 0.995 0.995 
0.400 1.477 1.477 
0.484 1.073 1.073 
0.567 1.379 1.379 
0.583 1.312 1.312 
0.417 0.864 0.864 
0.266 3.686 3.686 
0.267 1.105 1.105 
0.301 2.122 2.122 
0.533 0.886 0.886 
0.300 1.401 1.401 
0.534 1.192 1.192 
0.300 0.842 0.842 
0.567 1.291 1.291 
0.350 1.324 1.324 
0.284 0.809 0.809 
0.301 1.302 1.302 
0.451 1.258 1.258 
0.400 1.051 1.051 
0.350 1.664 1.664 
0.533 1.422 1.422 
0.434 1.191 1.191 
0.417 1.269 1.269 
0.567 1.837 1.837 
0.316 1.629 1.629 
0.500 1.586 1.586 
0.501 1.126 1.126 
0.350 1.411 1.411 
0.434 1.455 1.455 
0.235 1.192 1.192 
0.217 0.995 0.995 
0.418 0.865 0.865 
0.517 1.028 1.028 
0.583 0.799 0.799 
0.250 1.728 1.728 
0.434 0.733 0.733 
0.383 0.252 0.252 
0.201 1.258 1.258 
0.333 0.974 0.974 
0.267 0.985 0.985 
0.517 0.985 0.985 
0.333 1.138 1.138 
