<><><><><><><><> 
Begin: 25-Nov-2014 14:28:21 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s62 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.004 2.667 2.667 
0.532 1.453 1.453 
0.567 1.191 1.191 
0.250 1.464 1.464 
0.567 1.148 1.148 
0.450 1.737 1.737 
0.249 1.837 1.837 
0.317 1.301 1.301 
0.417 1.456 1.456 
0.584 2.220 2.220 
0.583 2.066 2.066 
0.267 3.017 3.017 
0.583 4.002 4.038 
0.584 1.563 1.563 
0.400 3.751 3.751 
0.517 3.674 3.674 
0.267 3.346 3.346 
0.367 4.002 5.995 
0.567 1.957 1.957 
0.517 1.553 1.553 
0.583 2.307 2.307 
0.467 1.760 1.760 
0.217 2.373 2.373 
0.534 3.027 3.027 
0.584 1.618 1.618 
0.466 1.990 1.990 
0.501 3.553 3.553 
0.499 2.143 2.143 
0.366 1.214 1.214 
0.468 3.564 3.564 
0.267 1.957 1.957 
0.484 4.001 5.995 
0.217 2.121 2.121 
0.317 3.531 3.531 
0.217 1.694 1.694 
0.249 2.361 2.361 
0.534 2.941 2.941 
0.484 2.678 2.678 
0.333 1.858 1.858 
0.583 3.640 3.640 
0.217 2.339 2.339 
0.384 3.913 3.913 
0.351 2.667 2.667 
0.501 1.169 1.169 
0.516 1.017 1.017 
0.283 1.650 1.650 
0.400 2.230 2.230 
0.384 3.990 5.995 
0.467 2.592 2.592 
0.484 1.399 1.399 
0.501 1.203 1.203 
0.317 2.240 2.240 
0.467 2.339 2.339 
0.467 0.897 0.897 
0.267 1.027 1.027 
0.250 1.717 1.717 
0.400 1.891 1.891 
0.584 2.592 2.592 
0.333 1.717 1.717 
0.433 0.984 0.984 
0.284 1.465 1.465 
0.501 1.883 1.883 
0.300 3.139 3.139 
0.400 1.639 1.639 
0.483 0.821 0.821 
0.567 0.940 0.940 
0.583 1.476 1.476 
0.417 1.224 1.224 
0.250 0.995 0.995 
0.267 2.076 2.076 
0.300 1.301 1.301 
0.534 0.907 0.907 
0.300 1.105 1.105 
0.533 0.930 0.930 
0.300 1.377 1.377 
0.568 1.170 1.170 
0.350 3.149 3.149 
0.285 1.213 1.213 
0.299 2.164 2.164 
0.449 1.717 1.717 
0.384 2.438 2.438 
0.350 1.782 1.782 
0.534 1.487 1.487 
0.434 2.470 2.470 
0.417 0.896 0.896 
0.568 1.170 1.170 
0.317 2.667 2.667 
0.501 1.323 1.323 
0.501 3.137 3.137 
0.350 2.570 2.570 
0.434 0.983 0.983 
0.234 0.996 0.996 
0.217 1.651 1.651 
0.417 2.437 2.437 
0.516 1.455 1.455 
0.584 2.941 2.941 
0.250 2.021 2.021 
0.434 3.991 5.994 
0.384 0.985 0.985 
0.200 1.203 1.203 
0.334 0.864 0.864 
0.266 1.400 1.400 
0.517 1.181 1.181 
0.334 1.072 1.072 
