<><><><><><><><> 
Begin: 20-Dec-2013 14:51:20 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s02 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.301 0.384 
0.267 0.301 0.551 
0.417 0.290 0.467 
0.851 0.290 0.467 
0.234 0.289 0.523 
0.951 0.290 0.500 
0.784 0.301 0.372 
0.601 0.290 0.467 
0.667 0.290 0.411 
0.384 0.301 0.417 
0.567 0.301 0.339 
0.968 0.301 0.428 
0.634 0.301 0.573 
0.617 0.301 0.450 
0.384 0.301 0.495 
0.601 0.290 0.400 
0.701 0.301 0.618 
0.751 0.290 0.456 
0.517 0.300 0.394 
0.501 0.290 0.534 
1.001 0.290 0.378 
0.234 0.290 0.489 
0.918 0.290 0.623 
0.934 0.289 0.556 
0.834 0.301 0.629 
0.284 0.290 0.501 
0.417 0.290 0.545 
0.467 0.299 0.473 
0.751 0.290 0.557 
0.317 0.289 0.556 
0.784 0.290 0.322 
0.284 0.301 0.439 
0.717 0.301 0.440 
0.601 0.290 0.322 
0.818 0.300 0.372 
0.784 0.290 0.356 
0.918 0.301 0.417 
0.918 0.290 0.423 
0.467 0.301 0.551 
0.767 0.290 0.501 
0.367 0.290 0.434 
0.234 0.290 0.668 
0.801 0.290 0.534 
0.601 0.301 0.384 
0.585 0.301 0.439 
0.934 0.289 0.389 
0.684 0.301 0.484 
0.701 0.290 0.422 
0.884 0.301 0.484 
0.851 0.290 0.579 
0.667 0.290 0.478 
0.351 0.290 0.712 
0.400 0.290 0.523 
0.918 0.290 0.511 
0.217 0.301 0.651 
0.601 0.290 0.523 
0.334 0.301 0.518 
0.984 0.301 0.640 
0.767 0.300 0.462 
0.601 0.301 0.506 
0.584 0.289 0.556 
0.250 0.290 0.512 
0.751 0.290 0.568 
0.234 0.301 0.540 
0.267 0.289 0.768 
0.617 0.301 0.729 
0.284 0.290 0.624 
0.851 0.301 0.484 
0.852 0.300 0.483 
0.784 0.290 0.490 
0.317 0.301 0.551 
0.734 0.290 0.545 
0.617 0.290 0.523 
0.984 0.290 0.523 
0.718 0.301 0.516 
0.835 0.301 0.495 
0.567 0.290 0.568 
0.551 0.290 0.512 
0.868 0.290 0.545 
0.267 0.301 0.584 
0.301 0.301 0.573 
0.334 0.301 0.673 
0.517 0.290 0.590 
0.868 0.290 0.534 
0.851 0.290 0.356 
0.250 0.301 0.662 
0.517 0.301 0.651 
0.617 0.301 0.674 
0.534 0.301 0.607 
0.734 0.290 0.578 
0.701 0.301 0.484 
0.434 0.300 0.629 
0.551 0.290 0.523 
0.218 0.290 0.667 
0.984 0.301 0.562 
0.335 0.301 0.684 
0.284 0.301 0.551 
0.501 0.290 0.545 
0.367 0.290 0.601 
0.601 0.289 0.567 
0.467 0.301 0.506 
0.968 0.290 0.479 
0.934 0.301 0.384 
0.250 0.290 0.612 
0.785 0.301 0.449 
0.417 0.290 0.523 
0.534 0.301 0.450 
0.634 0.301 0.484 
0.951 0.301 0.506 
0.534 0.301 0.506 
0.984 0.301 0.584 
