<><><><><><><><> 
Begin: 29-Jan-2014 15:17:48 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s08 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.295 0.311 
0.918 0.285 0.344 
0.968 0.296 0.365 
0.300 0.285 0.410 
0.667 0.296 0.323 
0.984 0.297 0.322 
0.234 0.296 0.519 
0.401 0.296 0.498 
0.701 0.296 0.311 
0.566 0.285 0.366 
0.667 0.295 0.356 
0.216 0.296 0.993 
0.434 0.230 0.230 
0.416 0.284 0.333 
1.001 0.285 0.356 
0.551 0.295 0.344 
0.634 0.295 0.312 
0.901 0.296 0.487 
0.550 0.284 0.355 
0.316 0.296 0.322 
0.784 0.285 0.285 
0.617 0.296 0.378 
0.584 0.285 0.388 
0.701 0.296 0.366 
0.751 0.296 0.312 
0.834 0.285 0.322 
0.233 0.296 0.519 
0.800 0.296 0.334 
0.217 0.295 0.444 
0.883 0.285 0.344 
0.717 0.295 0.399 
0.284 0.295 0.366 
0.267 0.284 0.421 
0.535 0.296 0.296 
0.334 0.285 0.322 
0.300 0.296 0.487 
0.451 0.296 0.442 
0.516 0.296 0.296 
0.833 0.296 0.509 
0.551 0.306 0.405 
0.834 0.295 0.311 
0.951 0.306 0.996 
0.667 0.296 0.311 
0.733 0.284 0.399 
0.651 0.285 0.322 
0.618 0.285 0.365 
0.501 0.296 0.366 
0.300 0.285 0.421 
1.001 0.296 0.520 
0.216 0.296 0.389 
0.952 0.296 0.421 
0.451 0.296 0.387 
0.317 0.295 0.551 
0.834 0.306 0.360 
0.534 0.285 0.285 
0.684 0.296 0.296 
0.501 0.295 0.354 
0.399 0.284 0.377 
0.500 0.285 0.285 
0.518 0.284 0.321 
0.500 0.296 0.367 
0.818 0.285 0.312 
0.984 0.285 0.366 
0.651 0.295 0.334 
0.984 0.295 0.311 
0.601 0.295 0.295 
0.968 0.296 0.498 
0.401 0.291 0.333 
0.551 0.302 0.328 
0.883 0.302 0.340 
0.601 0.295 0.295 
0.566 0.295 0.322 
0.384 0.306 0.394 
0.483 0.295 0.323 
0.385 0.296 0.310 
0.818 0.296 0.463 
0.801 0.285 0.285 
0.650 0.285 0.596 
0.783 0.295 0.366 
0.518 0.295 0.366 
0.567 0.295 0.312 
0.251 0.296 0.431 
0.534 0.296 0.344 
1.000 0.295 1.001 
0.802 0.263 0.263 
0.785 0.296 0.354 
0.517 0.285 0.540 
0.717 0.295 0.431 
0.268 0.297 0.377 
0.385 0.296 0.365 
0.952 0.296 0.355 
0.234 0.295 0.421 
0.601 0.296 0.431 
0.968 0.296 1.003 
0.701 0.307 0.362 
0.434 0.307 0.361 
0.216 0.285 0.345 
0.366 0.284 0.311 
0.366 0.284 0.355 
0.250 0.296 0.367 
0.934 0.284 0.454 
0.250 0.295 0.388 
0.733 0.295 0.323 
0.350 0.295 0.343 
0.250 0.296 0.431 
0.350 0.296 0.564 
0.968 0.285 0.365 
0.217 0.296 0.630 
0.818 0.285 0.399 
0.402 0.296 0.296 
0.869 0.296 0.343 
