<><><><><><><><> 
Begin: 26-Feb-2014 12:28:49 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s20 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.295 0.456 
0.267 0.303 0.492 
0.418 0.285 0.442 
0.850 0.285 0.619 
0.234 0.285 0.498 
0.951 0.284 0.531 
0.784 0.295 0.475 
0.600 0.284 0.585 
0.667 0.295 0.739 
0.399 0.285 0.333 
0.568 0.295 0.486 
0.967 0.296 0.509 
0.634 0.296 0.387 
0.617 0.295 0.443 
0.384 0.296 0.497 
0.600 0.285 0.377 
0.702 0.296 0.409 
0.750 0.295 0.509 
0.518 0.295 0.497 
0.501 0.284 0.453 
1.001 0.284 0.355 
0.234 0.296 0.530 
0.917 0.285 0.366 
0.935 0.296 0.442 
0.834 0.296 0.387 
0.284 0.295 0.454 
0.417 0.285 0.333 
0.468 0.295 0.388 
0.751 0.285 0.344 
0.316 0.295 0.487 
0.784 0.285 0.355 
0.284 0.296 0.519 
0.718 0.307 0.405 
0.601 0.295 0.388 
0.834 0.284 0.344 
0.768 0.296 0.606 
0.919 0.307 0.469 
0.918 0.296 0.541 
0.468 0.296 0.601 
0.768 0.284 0.672 
0.366 0.285 0.410 
0.234 0.285 0.399 
0.801 0.296 0.322 
0.601 0.296 0.520 
0.583 0.296 0.466 
0.934 0.284 0.399 
0.684 0.295 0.433 
0.702 0.284 0.661 
0.884 0.295 0.552 
0.851 0.296 0.377 
0.668 0.285 0.431 
0.350 0.296 0.488 
0.399 0.284 0.333 
0.918 0.284 0.443 
0.233 0.285 0.574 
0.601 0.285 0.443 
0.333 0.011 0.011 
0.983 0.295 0.475 
0.767 0.296 0.475 
0.601 0.296 0.463 
0.584 0.295 0.454 
0.251 0.296 0.432 
0.752 0.296 0.410 
0.234 0.296 0.322 
0.266 0.284 0.311 
0.617 0.296 0.378 
0.283 0.296 0.464 
0.851 0.296 0.606 
0.850 0.296 0.519 
0.784 0.295 0.464 
0.317 0.296 0.486 
0.735 0.285 0.443 
0.618 0.296 0.562 
0.984 0.296 0.312 
0.717 0.295 0.399 
0.851 0.285 0.553 
0.567 0.296 0.509 
0.550 0.296 0.694 
0.868 0.285 0.551 
0.268 0.295 0.453 
0.317 0.285 0.421 
0.334 0.307 0.307 
0.518 0.296 0.420 
0.869 0.296 0.507 
0.851 0.285 0.431 
0.251 0.295 0.454 
0.517 0.295 0.442 
0.616 0.307 0.439 
0.533 0.296 0.377 
0.733 0.284 0.388 
0.700 0.296 0.311 
0.435 0.296 0.463 
0.552 0.295 0.398 
0.217 0.296 0.366 
0.985 0.296 0.464 
0.335 0.296 0.387 
0.283 0.295 0.399 
0.501 0.296 0.377 
0.366 0.285 0.388 
0.601 0.285 0.399 
0.467 0.306 0.372 
0.968 0.296 0.607 
0.935 0.295 0.507 
0.250 0.285 0.453 
0.800 0.284 0.585 
0.418 0.296 0.398 
0.534 0.307 0.492 
0.635 0.295 0.508 
0.951 0.296 0.442 
0.533 0.295 0.366 
0.986 0.296 0.486 
