<><><><><><><><> 
Begin: 04-Mar-2014 14:42:43 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s28 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.302 0.525 
0.267 0.296 0.485 
0.417 0.285 0.399 
0.851 0.285 0.442 
0.233 0.285 0.432 
0.951 0.284 0.366 
0.785 0.296 0.409 
0.601 0.285 0.476 
0.666 0.295 0.389 
0.400 0.285 0.465 
0.568 0.296 0.572 
0.968 0.296 0.486 
0.633 0.306 0.460 
0.617 0.295 0.573 
0.385 0.295 0.584 
0.601 0.284 0.487 
0.700 0.296 0.564 
0.751 0.284 0.453 
0.516 0.296 0.399 
0.501 0.296 0.465 
1.001 0.285 0.389 
0.233 0.295 0.388 
0.917 0.284 0.333 
0.935 0.295 0.367 
0.835 0.295 0.442 
0.283 0.295 0.356 
0.416 0.296 0.432 
0.467 0.296 0.356 
0.751 0.285 0.376 
0.317 0.284 0.355 
0.784 0.285 0.356 
0.284 0.295 0.356 
0.718 0.306 0.382 
0.601 0.296 0.453 
0.834 0.285 0.421 
0.784 0.284 0.388 
0.933 0.285 0.377 
0.919 0.296 0.365 
0.467 0.295 0.521 
0.767 0.285 0.585 
0.367 0.284 0.552 
0.233 0.284 0.639 
0.801 0.295 0.377 
0.600 0.295 0.453 
0.584 0.295 0.323 
0.934 0.285 0.333 
0.684 0.306 0.328 
0.700 0.296 0.629 
0.885 0.295 0.354 
0.851 0.295 0.475 
0.667 0.295 0.508 
0.351 0.296 0.552 
0.399 0.295 0.508 
0.917 0.285 0.596 
0.233 0.284 0.464 
0.601 0.284 0.421 
0.334 0.295 0.420 
0.983 0.295 0.476 
0.768 0.295 0.433 
0.602 0.296 0.354 
0.585 0.284 0.322 
0.251 0.295 0.443 
0.751 0.295 0.475 
0.233 0.295 0.400 
0.267 0.284 0.312 
0.618 0.295 0.399 
0.285 0.295 0.475 
0.852 0.295 0.574 
0.852 0.296 0.332 
0.784 0.286 0.322 
0.317 0.295 0.366 
0.734 0.295 0.378 
0.617 0.295 0.586 
0.983 0.297 0.411 
0.718 0.295 0.487 
0.851 0.284 0.355 
0.567 0.295 0.509 
0.550 0.295 0.432 
0.868 0.285 0.333 
0.268 0.295 0.421 
0.317 0.284 0.333 
0.333 0.306 0.384 
0.517 0.296 0.333 
0.869 0.295 0.552 
0.851 0.284 0.486 
0.250 0.295 0.432 
0.517 0.296 0.431 
0.618 0.296 0.420 
0.534 0.296 0.376 
0.734 0.284 0.344 
0.701 0.295 0.465 
0.434 0.273 0.273 
0.551 0.295 0.409 
0.217 0.296 0.354 
0.984 0.296 0.356 
0.334 0.296 0.465 
0.283 0.295 0.322 
0.500 0.295 0.442 
0.367 0.284 0.410 
0.601 0.284 0.410 
0.467 0.307 0.361 
0.968 0.296 0.355 
0.933 0.295 0.295 
0.250 0.285 0.333 
0.801 0.284 0.410 
0.418 0.295 0.356 
0.533 0.306 0.361 
0.635 0.306 0.328 
0.952 0.295 0.345 
0.534 0.295 0.421 
0.985 0.299 0.372 
