<><><><><><><><> 
Begin: 12-Dec-2013 18:52:30 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s01 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.301 0.617 
0.268 0.300 0.516 
0.418 0.289 0.433 
0.851 0.290 0.813 
0.234 0.290 0.590 
0.951 0.290 0.578 
0.784 0.301 0.540 
0.601 0.290 0.914 
0.668 0.289 0.455 
0.384 0.301 0.762 
0.568 0.301 0.439 
0.968 0.300 0.473 
0.635 0.301 0.583 
0.618 0.299 0.483 
0.385 0.301 0.640 
0.601 0.290 0.791 
0.702 0.289 0.656 
0.751 0.290 0.378 
0.517 0.301 0.483 
0.500 0.289 0.658 
1.001 0.290 0.580 
0.234 0.290 0.490 
0.918 0.290 0.557 
0.934 0.290 0.467 
0.834 0.301 0.852 
0.285 0.290 0.812 
0.417 0.289 0.623 
0.467 0.301 0.495 
0.751 0.290 0.368 
0.317 0.290 0.491 
0.784 0.290 0.456 
0.283 0.301 0.996 
0.733 0.022 0.022 
0.600 0.290 0.534 
0.818 0.301 0.439 
0.767 0.301 0.506 
0.933 0.290 0.344 
0.918 0.290 0.312 
0.466 0.301 0.671 
0.767 0.234 0.234 
0.367 0.290 0.456 
0.234 0.290 0.913 
0.800 0.290 0.524 
0.601 0.301 0.506 
0.584 0.301 0.450 
0.934 0.290 0.311 
0.684 0.244 0.244 
0.701 0.289 0.845 
0.883 0.301 0.484 
0.851 0.290 0.366 
0.667 0.289 0.991 
0.350 0.233 0.233 
0.400 0.290 0.401 
0.918 0.290 0.457 
0.233 0.290 0.467 
0.601 0.290 0.390 
0.334 0.300 0.427 
0.984 0.301 0.405 
0.768 0.300 0.539 
0.601 0.301 0.461 
0.585 0.290 0.444 
0.250 0.290 0.344 
0.751 0.290 0.401 
0.235 0.301 0.694 
0.267 0.289 0.445 
0.617 0.301 0.301 
0.283 0.290 0.579 
0.851 0.301 0.473 
0.851 0.301 0.516 
0.784 0.289 0.579 
0.316 0.301 0.685 
0.735 0.289 0.621 
0.616 0.301 0.428 
0.985 0.290 0.466 
0.717 0.301 0.462 
0.850 0.290 0.356 
0.567 0.290 0.523 
0.551 0.289 0.578 
0.868 0.290 0.646 
0.266 0.301 0.506 
0.317 0.289 0.456 
0.333 0.301 0.529 
0.518 0.289 0.500 
0.869 0.289 0.378 
0.850 0.290 0.847 
0.250 0.301 0.472 
0.518 0.301 0.327 
0.617 0.300 0.394 
0.535 0.301 0.428 
0.734 0.290 0.379 
0.701 0.301 0.360 
0.433 0.301 0.495 
0.551 0.290 0.400 
0.217 0.290 0.467 
0.986 0.301 0.482 
0.334 0.300 0.539 
0.285 0.301 0.995 
0.500 0.290 0.490 
0.366 0.290 0.423 
0.600 0.289 0.289 
0.468 0.300 0.427 
0.967 0.290 0.290 
0.935 0.301 0.473 
0.250 0.290 0.579 
0.801 0.290 0.345 
0.417 0.290 0.533 
0.535 0.300 0.561 
0.635 0.301 0.472 
0.952 0.301 0.528 
0.534 0.301 0.427 
0.985 0.300 0.505 
