<><><><><><><><> 
Begin: 14-Jan-2014 21:08:16 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s05 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.296 0.695 
0.267 0.296 0.454 
0.417 0.286 0.464 
0.851 0.284 0.552 
0.233 0.285 0.563 
0.950 0.284 0.585 
0.785 0.295 0.497 
0.600 0.285 0.607 
0.667 0.296 0.398 
0.400 0.285 0.651 
0.568 0.296 0.475 
0.968 0.295 0.474 
0.635 0.296 0.606 
0.617 0.296 0.519 
0.384 0.296 0.465 
0.600 0.285 0.410 
0.700 0.296 0.608 
0.750 0.296 0.465 
0.517 0.295 0.794 
0.502 0.285 0.465 
1.001 0.285 0.475 
0.234 0.296 0.518 
0.918 0.284 0.421 
0.935 0.296 0.530 
0.835 0.296 0.529 
0.283 0.295 0.476 
0.417 0.285 0.377 
0.466 0.296 0.465 
0.752 0.285 0.377 
0.317 0.285 0.476 
0.784 0.285 0.410 
0.284 0.295 0.499 
0.719 0.306 0.338 
0.601 0.296 0.454 
0.818 0.307 0.591 
0.768 0.306 0.568 
0.933 0.285 0.486 
0.919 0.296 0.760 
0.467 0.296 0.606 
0.766 0.284 0.453 
0.366 0.284 0.618 
0.234 0.285 0.377 
0.801 0.295 0.628 
0.601 0.296 0.464 
0.584 0.296 0.486 
0.933 0.285 0.410 
0.684 0.295 0.586 
0.702 0.285 0.443 
0.883 0.307 0.536 
0.850 0.296 0.618 
0.667 0.295 0.630 
0.350 0.295 0.532 
0.400 0.285 0.519 
0.917 0.285 0.585 
0.233 0.285 0.454 
0.601 0.285 0.540 
0.334 0.296 0.509 
0.983 0.296 0.466 
0.768 0.296 0.509 
0.601 0.296 0.585 
0.584 0.296 0.606 
0.251 0.295 0.518 
0.750 0.296 0.575 
0.233 0.295 0.498 
0.267 0.284 0.585 
0.617 0.296 0.552 
0.283 0.295 0.794 
0.852 0.296 0.541 
0.850 0.295 0.651 
0.785 0.285 0.716 
0.317 0.295 0.563 
0.735 0.285 0.694 
0.618 0.296 0.552 
0.983 0.296 0.464 
0.718 0.296 0.585 
0.850 0.284 0.509 
0.567 0.295 0.487 
0.551 0.296 0.387 
0.867 0.296 0.486 
0.267 0.295 0.771 
0.316 0.284 0.694 
0.349 0.285 0.519 
0.517 0.296 0.453 
0.867 0.296 0.464 
0.851 0.285 0.596 
0.250 0.296 0.508 
0.517 0.296 0.715 
0.618 0.295 0.585 
0.533 0.295 0.486 
0.733 0.285 0.486 
0.701 0.296 0.552 
0.434 0.296 0.497 
0.552 0.296 0.465 
0.218 0.296 0.562 
0.984 0.296 0.608 
0.335 0.296 0.595 
0.283 0.295 0.574 
0.500 0.296 0.629 
0.366 0.285 0.476 
0.601 0.284 0.486 
0.467 0.306 0.536 
0.969 0.285 0.475 
0.933 0.296 0.695 
0.249 0.296 0.585 
0.800 0.285 0.464 
0.417 0.295 0.498 
0.535 0.296 0.519 
0.634 0.306 0.504 
0.951 0.295 0.508 
0.533 0.296 0.488 
0.984 0.296 0.442 
