<><><><><><><><> 
Begin: 07-Feb-2014 16:38:19 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s13 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.291 0.541 
0.267 0.304 0.448 
0.418 0.291 0.410 
0.850 0.285 0.322 
0.234 0.285 0.520 
0.950 0.285 0.673 
0.783 0.296 0.498 
0.601 0.285 0.541 
0.667 0.295 0.443 
0.400 0.285 0.432 
0.567 0.296 0.608 
0.969 0.296 0.430 
0.635 0.296 0.486 
0.617 0.295 0.466 
0.385 0.296 0.803 
0.600 0.284 0.442 
0.700 0.296 0.356 
0.751 0.284 0.574 
0.517 0.296 0.531 
0.500 0.296 0.564 
1.001 0.285 0.542 
0.234 0.296 0.487 
0.917 0.285 0.771 
0.933 0.295 0.564 
0.835 0.296 0.321 
0.284 0.296 0.463 
0.417 0.284 0.585 
0.468 0.296 0.507 
0.752 0.284 0.474 
0.317 0.285 0.563 
0.785 0.284 0.311 
0.283 0.296 0.683 
0.718 0.306 0.427 
0.601 0.296 0.606 
0.818 0.306 0.601 
0.768 0.307 0.459 
0.918 0.307 0.820 
0.917 0.296 0.650 
0.468 0.295 0.683 
0.767 0.285 0.640 
0.366 0.285 0.651 
0.234 0.285 0.530 
0.801 0.296 0.365 
0.601 0.296 0.520 
0.584 0.296 0.618 
0.934 0.285 0.541 
0.685 0.296 0.606 
0.700 0.295 0.870 
0.885 0.296 0.649 
0.851 0.295 0.707 
0.668 0.296 0.485 
0.351 0.296 0.508 
0.400 0.285 0.662 
0.918 0.284 0.552 
0.233 0.284 0.563 
0.600 0.284 0.552 
0.334 0.295 0.772 
0.984 0.296 0.991 
0.769 0.295 0.551 
0.600 0.295 0.706 
0.583 0.296 0.871 
0.251 0.296 0.650 
0.751 0.296 0.683 
0.235 0.295 0.868 
0.267 0.284 0.751 
0.618 0.295 0.791 
0.283 0.295 0.705 
0.850 0.307 0.557 
0.854 0.295 0.596 
0.784 0.296 0.518 
0.318 0.296 0.574 
0.733 0.295 0.400 
0.618 0.295 0.596 
0.985 0.296 0.529 
0.717 0.296 0.497 
0.851 0.285 0.651 
0.567 0.296 0.541 
0.551 0.295 0.695 
0.868 0.295 0.464 
0.266 0.296 0.595 
0.316 0.284 0.563 
0.333 0.306 0.482 
0.517 0.295 0.738 
0.868 0.296 0.296 
0.850 0.285 0.389 
0.251 0.296 0.650 
0.517 0.274 0.274 
0.617 0.306 0.362 
0.534 0.295 0.465 
0.734 0.284 0.443 
0.701 0.295 0.420 
0.434 0.296 0.343 
0.551 0.230 0.230 
0.217 0.295 0.345 
0.984 0.296 0.749 
0.335 0.295 0.475 
0.284 0.295 0.509 
0.501 0.296 0.529 
0.367 0.284 0.519 
0.600 0.285 0.487 
0.467 0.307 0.569 
0.968 0.296 0.584 
0.934 0.296 0.673 
0.250 0.284 0.508 
0.801 0.285 0.421 
0.417 0.295 0.442 
0.535 0.295 0.803 
0.633 0.306 0.527 
0.950 0.306 0.744 
0.533 0.295 0.455 
0.984 0.296 0.607 
