<><><><><><><><> 
Begin: 04-Mar-2014 17:39:48 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s30 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 0.295 0.508 
0.268 0.295 0.542 
0.417 0.285 0.442 
0.850 0.284 0.585 
0.230 0.295 0.628 
0.951 0.284 0.464 
0.784 0.295 0.443 
0.600 0.284 0.508 
0.667 0.295 0.465 
0.385 0.307 0.589 
0.568 0.295 0.508 
0.968 0.295 0.574 
0.635 0.296 0.552 
0.617 0.296 0.486 
0.384 0.295 0.509 
0.600 0.284 0.399 
0.702 0.295 0.584 
0.751 0.284 0.551 
0.517 0.296 0.542 
0.500 0.296 0.498 
1.001 0.284 0.683 
0.235 0.295 0.498 
0.918 0.285 0.563 
0.933 0.295 0.433 
0.835 0.295 0.310 
0.284 0.295 0.344 
0.417 0.011 0.011 
0.467 0.295 0.507 
0.751 0.295 0.923 
0.317 0.284 0.563 
0.785 0.284 0.508 
0.284 0.296 0.497 
0.718 0.306 0.426 
0.602 0.295 0.541 
0.834 0.284 0.486 
0.768 0.307 0.515 
0.933 0.284 0.355 
0.918 0.295 0.737 
0.467 0.295 0.705 
0.767 0.284 0.628 
0.367 0.284 0.497 
0.234 0.284 0.486 
0.800 0.295 0.596 
0.600 0.295 0.651 
0.584 0.295 0.541 
0.933 0.284 0.530 
0.684 0.306 0.568 
0.702 0.284 0.616 
0.884 0.295 0.607 
0.851 0.295 0.529 
0.668 0.295 0.344 
0.350 0.295 0.520 
0.400 0.284 0.508 
0.917 0.285 0.355 
0.232 0.284 0.465 
0.601 0.284 0.420 
0.334 0.295 0.562 
0.984 0.296 0.618 
0.768 0.296 0.465 
0.602 0.296 0.387 
0.584 0.295 0.344 
0.250 0.295 0.453 
0.752 0.295 0.443 
0.233 0.263 0.263 
0.266 0.284 0.465 
0.618 0.295 0.475 
0.285 0.295 0.365 
0.851 0.295 0.476 
0.852 0.295 0.310 
0.784 0.044 0.044 
0.318 0.295 0.399 
0.735 0.055 0.055 
0.617 0.120 0.120 
0.984 0.295 0.421 
0.717 0.295 1.000 
0.851 0.284 0.453 
0.568 0.296 0.420 
0.551 0.295 0.507 
0.868 0.285 0.705 
0.267 0.296 0.464 
0.317 0.284 0.563 
0.335 0.306 0.568 
0.518 0.296 0.463 
0.867 0.296 0.486 
0.850 0.285 0.683 
0.251 0.295 0.408 
0.517 0.296 0.903 
0.617 0.306 0.601 
0.534 0.295 0.334 
0.734 0.284 0.771 
0.702 0.296 0.672 
0.434 0.296 0.431 
0.551 0.296 0.530 
0.218 0.296 0.454 
0.984 0.296 0.551 
0.334 0.295 0.464 
0.284 0.295 0.485 
0.502 0.296 0.366 
0.367 0.285 0.311 
0.600 0.284 0.508 
0.466 0.307 0.460 
0.969 0.285 0.660 
0.933 0.295 0.420 
0.250 0.285 0.432 
0.801 0.284 0.695 
0.417 0.295 0.640 
0.533 0.296 0.296 
0.635 0.186 0.186 
0.951 0.295 0.431 
0.534 0.295 0.419 
0.985 0.296 0.366 
